successful_update,pair_indices,pair_keys
1,19;14;72;32;137;11;108;47,study03/study03_p03:target_t18_1200:source_t7_800;study03/study03_p03:target_t10_800:source_t2_0;study03/study03_p20:target_t16_800:source_t2_1200;study03/study03_p19:target_t3_0:source_t0_800;study03/study03_p24:target_t8_800:source_t2_0;study03/study03_p03:target_t9_1200:source_t1_400;study03/study03_p22:target_t12_800:source_t11_0;study03/study03_p19:target_t16_1200:source_t9_800
2,93;78;161;3;57;163;52;90,study03/study03_p22:target_t1_1200:source_t3_400;study03/study03_p21:target_t3_800:source_t15_1200;study03/study03_p25:target_t7_0:source_t5_800;study03/study03_p03:target_t3_1200:source_t21_400;study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p25:target_t7_800:source_t8_0;study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p22:target_t1_0:source_t2_800
3,16;4;154;170;91;152;29;156,study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p03:target_t6_0:source_t21_800;study03/study03_p24:target_t22_400:source_t11_0;study03/study03_p25:target_t18_400:source_t9_1200;study03/study03_p22:target_t1_400:source_t2_1200;study03/study03_p24:target_t21_1200:source_t10_400;study03/study03_p03:target_t25_400:source_t12_1200;study03/study03_p24:target_t22_1200:source_t11_1200
4,15;9;56;109;30;10;77;22,study03/study03_p03:target_t10_1200:source_t2_400;study03/study03_p03:target_t9_400:source_t23_1200;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p22:target_t12_1200:source_t11_400;study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p03:target_t9_800:source_t1_0;study03/study03_p21:target_t3_400:source_t15_800;study03/study03_p03:target_t22_800:source_t8_400
5,40;66;167;88;85;17;31;129,study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p20:target_t10_0:source_t21_800;study03/study03_p25:target_t14_800:source_t9_0;study03/study03_p21:target_t17_800:source_t0_1200;study03/study03_p21:target_t9_1200:source_t18_1200;study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p03:target_t25_1200:source_t13_400;study03/study03_p23:target_t8_1200:source_t9_400
6,150;107;50;82;135;87;8;99,study03/study03_p24:target_t21_400:source_t7_1200;study03/study03_p22:target_t12_400:source_t9_1200;study03/study03_p19:target_t17_800:source_t11_400;study03/study03_p21:target_t9_0:source_t18_0;study03/study03_p24:target_t5_1200:source_t1_800;study03/study03_p21:target_t17_400:source_t0_800;study03/study03_p03:target_t9_0:source_t23_800;study03/study03_p22:target_t7_400:source_t5_1200
7,134;89;166;143;169;106;160;55,study03/study03_p24:target_t5_0:source_t1_400;study03/study03_p21:target_t17_1200:source_t1_400;study03/study03_p25:target_t14_400:source_t8_1200;study03/study03_p24:target_t15_800:source_t4_0;study03/study03_p25:target_t18_0:source_t9_800;study03/study03_p22:target_t12_0:source_t9_800;study03/study03_p25:target_t6_1200:source_t5_400;study03/study03_p19:target_t19_1200:source_t12_800
8,103;92;41;100;26;117;62;124,study03/study03_p22:target_t8_400:source_t6_1200;study03/study03_p22:target_t1_800:source_t3_0;study03/study03_p19:target_t8_400:source_t7_0;study03/study03_p22:target_t7_800:source_t6_0;study03/study03_p03:target_t24_800:source_t12_0;study03/study03_p23:target_t2_1200:source_t1_400;study03/study03_p20:target_t9_0:source_t20_400;study03/study03_p23:target_t5_800:source_t6_0
9,33;81;37;140;44;23;63;42,study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p21:target_t6_400:source_t16_1200;study03/study03_p19:target_t6_400:source_t4_0;study03/study03_p24:target_t9_1200:source_t2_1200;study03/study03_p19:target_t16_0:source_t7_1200;study03/study03_p03:target_t22_1200:source_t8_800;study03/study03_p20:target_t9_400:source_t20_800;study03/study03_p19:target_t8_800:source_t7_400
10,2;105;148;110;146;46;5;48,study03/study03_p03:target_t3_800:source_t21_0;study03/study03_p22:target_t8_1200:source_t9_400;study03/study03_p24:target_t19_1200:source_t7_0;study03/study03_p22:target_t13_0:source_t11_800;study03/study03_p24:target_t19_400:source_t6_0;study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p03:target_t6_400:source_t21_1200;study03/study03_p19:target_t17_0:source_t9_1200
