control_owner,source_file,groupb_ref_index_a,groupb_ref_index_b,identity_mapping,positive_pair_allowed,allowed_use
1,S1.mat,0,1,anonymous_unverified,0,negative_and_nuisance_calibration_only
2,S1.mat,4,5,anonymous_unverified,0,negative_and_nuisance_calibration_only
3,S1.mat,10,11,anonymous_unverified,0,negative_and_nuisance_calibration_only
4,S1.mat,16,17,anonymous_unverified,0,negative_and_nuisance_calibration_only
5,S1.mat,22,23,anonymous_unverified,0,negative_and_nuisance_calibration_only
6,S2.mat,4,5,anonymous_unverified,0,negative_and_nuisance_calibration_only
7,S2.mat,18,19,anonymous_unverified,0,negative_and_nuisance_calibration_only
8,S2.mat,20,21,anonymous_unverified,0,negative_and_nuisance_calibration_only
9,S3.mat,4,5,anonymous_unverified,0,negative_and_nuisance_calibration_only
10,S3.mat,12,13,anonymous_unverified,0,negative_and_nuisance_calibration_only
11,S3.mat,16,17,anonymous_unverified,0,negative_and_nuisance_calibration_only
12,S3.mat,20,21,anonymous_unverified,0,negative_and_nuisance_calibration_only
13,S4.mat,8,9,anonymous_unverified,0,negative_and_nuisance_calibration_only
14,S4.mat,10,11,anonymous_unverified,0,negative_and_nuisance_calibration_only
15,S4.mat,16,17,anonymous_unverified,0,negative_and_nuisance_calibration_only
16,S5.mat,14,15,anonymous_unverified,0,negative_and_nuisance_calibration_only
17,S5.mat,20,21,anonymous_unverified,0,negative_and_nuisance_calibration_only
18,S6.mat,0,1,anonymous_unverified,0,negative_and_nuisance_calibration_only
19,S7.mat,0,1,anonymous_unverified,0,negative_and_nuisance_calibration_only
20,S7.mat,10,11,anonymous_unverified,0,negative_and_nuisance_calibration_only
21,S7.mat,16,17,anonymous_unverified,0,negative_and_nuisance_calibration_only
22,S8.mat,0,1,anonymous_unverified,0,negative_and_nuisance_calibration_only
23,S8.mat,6,7,anonymous_unverified,0,negative_and_nuisance_calibration_only
24,S8.mat,10,11,anonymous_unverified,0,negative_and_nuisance_calibration_only
25,S8.mat,12,13,anonymous_unverified,0,negative_and_nuisance_calibration_only
26,S8.mat,18,19,anonymous_unverified,0,negative_and_nuisance_calibration_only
27,S9.mat,0,1,anonymous_unverified,0,negative_and_nuisance_calibration_only
28,S9.mat,14,15,anonymous_unverified,0,negative_and_nuisance_calibration_only
29,S9.mat,22,23,anonymous_unverified,0,negative_and_nuisance_calibration_only
30,S10.mat,6,7,anonymous_unverified,0,negative_and_nuisance_calibration_only
31,S10.mat,8,9,anonymous_unverified,0,negative_and_nuisance_calibration_only
32,S10.mat,12,13,anonymous_unverified,0,negative_and_nuisance_calibration_only
33,S10.mat,20,21,anonymous_unverified,0,negative_and_nuisance_calibration_only
34,S11.mat,2,3,anonymous_unverified,0,negative_and_nuisance_calibration_only
35,S11.mat,12,13,anonymous_unverified,0,negative_and_nuisance_calibration_only
36,S11.mat,18,19,anonymous_unverified,0,negative_and_nuisance_calibration_only
37,S11.mat,22,23,anonymous_unverified,0,negative_and_nuisance_calibration_only
38,S12.mat,4,5,anonymous_unverified,0,negative_and_nuisance_calibration_only
39,S12.mat,10,11,anonymous_unverified,0,negative_and_nuisance_calibration_only
40,S12.mat,16,17,anonymous_unverified,0,negative_and_nuisance_calibration_only
41,S13.mat,0,1,anonymous_unverified,0,negative_and_nuisance_calibration_only
42,S13.mat,8,9,anonymous_unverified,0,negative_and_nuisance_calibration_only
43,S13.mat,14,15,anonymous_unverified,0,negative_and_nuisance_calibration_only
44,S13.mat,20,21,anonymous_unverified,0,negative_and_nuisance_calibration_only
45,S14.mat,10,11,anonymous_unverified,0,negative_and_nuisance_calibration_only
46,S14.mat,18,19,anonymous_unverified,0,negative_and_nuisance_calibration_only
47,S14.mat,20,21,anonymous_unverified,0,negative_and_nuisance_calibration_only
48,S15.mat,0,1,anonymous_unverified,0,negative_and_nuisance_calibration_only
49,S15.mat,8,9,anonymous_unverified,0,negative_and_nuisance_calibration_only
50,S15.mat,20,21,anonymous_unverified,0,negative_and_nuisance_calibration_only
51,S15.mat,24,25,anonymous_unverified,0,negative_and_nuisance_calibration_only
52,S15.mat,26,27,anonymous_unverified,0,negative_and_nuisance_calibration_only
