best_criterion,branch_commit,checkpoint_path,config,digest_match,fold,input_contract,model,output_contract,recorded_sha256,seed,sha256,source,status,training_job,v37t_binding
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260825/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,SetCalibDET,clean or artifact as registered,14edb758767e6d7919c6a318dfe5a2e179a2edc0be006d3e9265ba5c8852141a,20260825,14edb758767e6d7919c6a318dfe5a2e179a2edc0be006d3e9265ba5c8852141a,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_1/seed_20260825/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,SetCalibDiff,clean or artifact as registered,ce1a399ad7225299ef6dca8752ac56d71a8399c59b8183c56ec8715debeb6833,20260825,ce1a399ad7225299ef6dca8752ac56d71a8399c59b8183c56ec8715debeb6833,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260826/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,6296e1355df0b811f4d6d430dc3d811b4cd7fe34befd8ae6022824232d75494a,20260826,6296e1355df0b811f4d6d430dc3d811b4cd7fe34befd8ae6022824232d75494a,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260826/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,SetCalibDET,clean or artifact as registered,37e0b8f0a1ae0231d438c2cd9fc9253bce483fc41d14c8d4fb6a16e85d5f00b5,20260826,37e0b8f0a1ae0231d438c2cd9fc9253bce483fc41d14c8d4fb6a16e85d5f00b5,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_1/seed_20260826/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,SetCalibDiff,clean or artifact as registered,663babbb3642c06c05efe202ad4939936b2cf247312f1c67acbc6b625ae71a18,20260826,663babbb3642c06c05efe202ad4939936b2cf247312f1c67acbc6b625ae71a18,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_1/seed_20260824/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,6c6290267d0ab718c3ac907c4835a48a24926590d6ac74ed5761f67aa9c5bfbc,20260827,6c6290267d0ab718c3ac907c4835a48a24926590d6ac74ed5761f67aa9c5bfbc,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260827/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,SetCalibDET,clean or artifact as registered,9a9852a436d6eb425bb8e80682e1aeee3ee7dc16e820cd4f2afa3ee67822cab3,20260827,9a9852a436d6eb425bb8e80682e1aeee3ee7dc16e820cd4f2afa3ee67822cab3,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_1/seed_20260827/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,1,frozen historical contract,SetCalibDiff,clean or artifact as registered,1dbebe7175702ac324a5bd08b670ad20de181181628226daffd8c99bdfdeea3a,20260827,1dbebe7175702ac324a5bd08b670ad20de181181628226daffd8c99bdfdeea3a,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260825/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,6fa972ca8f2f013ff283a1d6a4979f46a791dc9edd03438adde0b825d5aed40d,20260825,6fa972ca8f2f013ff283a1d6a4979f46a791dc9edd03438adde0b825d5aed40d,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260825/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,SetCalibDET,clean or artifact as registered,b3e1effd1692b19786b2e715da8e3fb413d2ec79d9ab067dc5a529d331976ccf,20260825,b3e1effd1692b19786b2e715da8e3fb413d2ec79d9ab067dc5a529d331976ccf,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_2/seed_20260825/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,SetCalibDiff,clean or artifact as registered,17f841132b01b43eccb416c6362d74200d2df577c68863528e0791968c2a793d,20260825,17f841132b01b43eccb416c6362d74200d2df577c68863528e0791968c2a793d,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260826/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,4672e13b1d6e1fbf8100606c758f72bb9ea46a5421f9e1e5e55dfe900907b9ea,20260826,4672e13b1d6e1fbf8100606c758f72bb9ea46a5421f9e1e5e55dfe900907b9ea,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260826/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,SetCalibDET,clean or artifact as registered,bc765549ac7e34867ade794997a9cab9a1ed4a32926ecc442689204f96e93722,20260826,bc765549ac7e34867ade794997a9cab9a1ed4a32926ecc442689204f96e93722,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_2/seed_20260826/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,SetCalibDiff,clean or artifact as registered,9f2eca4ec3f35e15f24859de35a06752dfafa8307250b1d939c9fcb476355b48,20260826,9f2eca4ec3f35e15f24859de35a06752dfafa8307250b1d939c9fcb476355b48,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_2/seed_20260824/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,dfbcea37c0958c841197812b0b474e621466ed3c67d3e7b6b5f85afefa8ff192,20260827,dfbcea37c0958c841197812b0b474e621466ed3c67d3e7b6b5f85afefa8ff192,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_2/seed_20260827/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,SetCalibDET,clean or artifact as registered,6a9ea87444761fc1b742a5dfe0f5b43ae348f0e853daabd7581b414969835e61,20260827,6a9ea87444761fc1b742a5dfe0f5b43ae348f0e853daabd7581b414969835e61,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_2/seed_20260827/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,2,frozen historical contract,SetCalibDiff,clean or artifact as registered,1943fc1e2361c28d44fe26869188e063ea4cfdf70b4449726ab90da6a16c908b,20260827,1943fc1e2361c28d44fe26869188e063ea4cfdf70b4449726ab90da6a16c908b,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260825/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,3,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,717a8d3a1fe8a05d5f95afaee8edc61dabf171454a4545b7cb1376a2327df336,20260825,717a8d3a1fe8a05d5f95afaee8edc61dabf171454a4545b7cb1376a2327df336,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260825/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,3,frozen historical contract,SetCalibDET,clean or artifact as registered,41bba29262e9cb4b365b5c007249d5a9db9e7ea1f3745c003d4c05c60b79f4d9,20260825,41bba29262e9cb4b365b5c007249d5a9db9e7ea1f3745c003d4c05c60b79f4d9,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/diff/fold_3/seed_20260825/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 8, ""ddim_steps"": 25, ""diffusion_steps"": 1000, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_decoded"": 0.1, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_diff"", ""rank"": 8, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,3,frozen historical contract,SetCalibDiff,clean or artifact as registered,a22fe9aae1452b292f6750d6e600a087d53179be51a45a29fd939627364526f6,20260825,a22fe9aae1452b292f6750d6e600a087d53179be51a45a29fd939627364526f6,V25,available,see reports/slurm/v25_job_ids.txt,verified
V24 best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/pa_el_scad_v24/checkpoints/anchor/fold_3/seed_20260826/best_joint.pt,"{""base_channels"": 64, ""batch_size"": 16, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_identity"": 0.5, ""learning_rate"": 0.0001, ""maximum_updates"": 30000, ""minimum_updates"": 5000, ""model"": ""population_anchor_v24"", ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,3,frozen historical contract,V24_POP_ANCHOR,clean or artifact as registered,da4e222deef3c5923db8ad06b4c2ac03e2478d38528249dcd70a82de5c578df1,20260826,da4e222deef3c5923db8ad06b4c2ac03e2478d38528249dcd70a82de5c578df1,V25,available,see reports/slurm/v25_job_ids.txt,verified
best_joint,a7d9d647b69e152255b62dbca917a4b3ed082915,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_3/seed_20260826/best_joint.pt,"{""batch_size"": 8, ""early_stopping_patience"": 10, ""ema"": 0.999, ""lambda_basis"": 0.01, ""lambda_operator"": 0.05, ""lambda_rank"": 0.1, ""learning_rate"": 0.0001, ""margin"": 0.01, ""maximum_updates"": 30000, ""minimum_updates"": 4000, ""model"": ""setcalib_det"", ""natural_fraction"": 0.3, ""validation_interval"": 250, ""weight_decay"": 0.0001}",1,3,frozen historical contract,SetCalibDET,clean or artifact as registered,3124cca9dc51d48faa17e541edb8d8e748d8c5a307ae076142391c63b97240ea,20260826,3124cca9dc51d48faa17e541edb8d8e748d8c5a307ae076142391c63b97240ea,V25,available,see reports/slurm/v25_job_ids.txt,verified
