fold,participant,internal_subject,role,selection_session,refit_session,outer_gallery_session,outer_query_session
0,19,18,train,none,ses_0,none,none
0,20,19,train,none,ses_0,none,none
0,21,20,train,none,ses_0,none,none
0,22,21,train,none,ses_0,none,none
0,23,22,train,none,ses_0,none,none
0,24,23,train,none,ses_0,none,none
0,25,24,train,none,ses_0,none,none
0,26,25,train,none,ses_0,none,none
0,27,26,train,none,ses_0,none,none
0,28,27,train,none,ses_0,none,none
0,29,28,train,none,ses_0,none,none
0,30,29,train,none,ses_0,none,none
0,31,30,train,none,ses_0,none,none
0,32,31,train,none,ses_0,none,none
0,33,32,train,none,ses_0,none,none
0,34,33,train,none,ses_0,none,none
0,35,34,train,none,ses_0,none,none
0,36,35,train,none,ses_0,none,none
0,37,36,train,none,ses_0,none,none
0,38,37,train,none,ses_0,none,none
0,39,38,train,none,ses_0,none,none
0,40,39,train,none,ses_0,none,none
0,41,40,train,none,ses_0,none,none
0,42,41,train,none,ses_0,none,none
0,43,42,train,none,ses_0,none,none
0,44,43,train,none,ses_0,none,none
0,45,44,train,none,ses_0,none,none
0,46,45,train,none,ses_0,none,none
0,47,46,train,none,ses_0,none,none
0,48,47,train,none,ses_0,none,none
0,49,48,train,none,ses_0,none,none
0,50,49,train,none,ses_0,none,none
0,51,50,train,none,ses_0,none,none
0,52,51,train,none,ses_0,none,none
0,53,52,train,none,ses_0,none,none
0,54,53,train,none,ses_0,none,none
0,10,9,validation,ses_1,ses_0,none,none
0,11,10,validation,ses_1,ses_0,none,none
0,12,11,validation,ses_1,ses_0,none,none
0,13,12,validation,ses_1,ses_0,none,none
0,14,13,validation,ses_1,ses_0,none,none
0,15,14,validation,ses_1,ses_0,none,none
0,16,15,validation,ses_1,ses_0,none,none
0,17,16,validation,ses_1,ses_0,none,none
0,18,17,validation,ses_1,ses_0,none,none
0,1,0,test,none,none,ses_0,ses_1
0,2,1,test,none,none,ses_0,ses_1
0,3,2,test,none,none,ses_0,ses_1
0,4,3,test,none,none,ses_0,ses_1
0,5,4,test,none,none,ses_0,ses_1
0,6,5,test,none,none,ses_0,ses_1
0,7,6,test,none,none,ses_0,ses_1
0,8,7,test,none,none,ses_0,ses_1
0,9,8,test,none,none,ses_0,ses_1
1,1,0,train,none,ses_0,none,none
1,2,1,train,none,ses_0,none,none
