effective_operator_source,latency_seconds,method_id,network_calls_total,operator_source,partition,peak_memory_mb,seed,source_record,status
population_projector,12.3384773650032,M1_observation_warm_start_sdedit,200,population_projector,development,1533.525390625,20260801,sim31,success
population_projector,11.425721251987852,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260802,sim31,success
population_projector,11.421555355016608,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260803,sim31,success
population_projector,11.416766717011342,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260804,sim31,success
population_projector,11.46493591798935,M1_observation_warm_start_sdedit,200,population_projector,development,1541.650390625,20260805,sim31,success
population_projector,11.466459319985006,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260801,sim31,success
population_projector,11.438095282006543,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260802,sim31,success
population_projector,11.429861265991349,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260803,sim31,success
population_projector,11.464157006004825,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260804,sim31,success
population_projector,11.443641217978438,M2_final_hard_q_consistency,200,population_projector,development,1541.650390625,20260805,sim31,success
population_projector,11.485016437014565,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260801,sim31,success
population_projector,11.469098401983501,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260802,sim31,success
population_projector,11.519211271981476,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260803,sim31,success
population_projector,11.472161530982703,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260804,sim31,success
population_projector,11.452497273974586,M4_per_step_quadratic_proximal_q_consistency,200,population_projector,development,1541.650390625,20260805,sim31,success
matching_p0,10.837082940008258,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260801,sim31,success
matching_p0,10.85222813099972,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260802,sim31,success
matching_p0,10.824895049998304,M1_observation_warm_start_sdedit,200,matching_p0,development,1541.650390625,20260803,sim31,success
