successful_update,pair_indices,pair_keys
1,4;75;15;17;56;44;30;63,study01/study01_p01:target_t7_0:source_t5_800;study01/study01_p04:target_t4_800:source_t13_0;study01/study01_p01:target_t17_800:source_t10_400;study01/study01_p01:target_t20_0:source_t10_1200;study01/study01_p03:target_t16_800:source_t13_1200;study01/study01_p03:target_t4_800:source_t7_0;study01/study01_p01:target_t24_1200:source_t16_1200;study01/study01_p03:target_t24_400:source_t15_800
2,76;87;26;91;89;57;117;98,study01/study01_p04:target_t4_1200:source_t13_400;study01/study01_p04:target_t18_400:source_t16_800;study01/study01_p01:target_t23_800:source_t14_800;study01/study01_p04:target_t21_400:source_t17_800;study01/study01_p04:target_t18_1200:source_t17_0;study01/study01_p03:target_t16_1200:source_t14_0;study01/study01_p05:target_t16_400:source_t21_400;study01/study01_p05:target_t0_400:source_t12_1200
3,47;59;85;66;116;80;23;37,study01/study01_p03:target_t6_400:source_t7_1200;study01/study01_p03:target_t17_400:source_t14_800;study01/study01_p04:target_t10_800:source_t16_0;study01/study01_p04:target_t0_400:source_t8_1200;study01/study01_p05:target_t16_0:source_t20_1200;study01/study01_p04:target_t9_0:source_t14_400;study01/study01_p01:target_t21_1200:source_t12_800;study01/study01_p03:target_t1_800:source_t3_400
4,42;14;33;50;92;61;52;9,study01/study01_p03:target_t4_0:source_t5_800;study01/study01_p01:target_t17_400:source_t10_0;study01/study01_p03:target_t0_800:source_t23_400;study01/study01_p03:target_t12_0:source_t9_800;study01/study01_p04:target_t21_800:source_t17_1200;study01/study01_p03:target_t17_1200:source_t15_0;study01/study01_p03:target_t12_800:source_t11_800;study01/study01_p01:target_t15_0:source_t6_1200
5,78;124;69;11;93;74;121;41,study01/study01_p04:target_t7_400:source_t13_1200;study01/study01_p05:target_t25_400:source_t23_400;study01/study01_p04:target_t1_0:source_t11_800;study01/study01_p01:target_t15_800:source_t8_800;study01/study01_p04:target_t21_1200:source_t19_0;study01/study01_p04:target_t4_400:source_t12_1200;study01/study01_p05:target_t18_400:source_t22_800;study01/study01_p03:target_t2_800:source_t5_400
6,46;18;102;109;22;1;88;77,study01/study01_p03:target_t6_0:source_t7_800;study01/study01_p01:target_t20_400:source_t11_0;study01/study01_p05:target_t6_400:source_t15_400;study01/study01_p05:target_t10_400:source_t19_0;study01/study01_p01:target_t21_800:source_t12_400;study01/study01_p01:target_t0_400:source_t4_800;study01/study01_p04:target_t18_800:source_t16_1200;study01/study01_p04:target_t7_0:source_t13_800
7,31;107;110;122;60;100;25;43,study01/study01_p03:target_t0_0:source_t22_1200;study01/study01_p05:target_t7_1200:source_t17_800;study01/study01_p05:target_t10_800:source_t19_400;study01/study01_p05:target_t18_800:source_t22_1200;study01/study01_p03:target_t17_800:source_t14_1200;study01/study01_p05:target_t0_1200:source_t14_800;study01/study01_p01:target_t23_400:source_t14_0;study01/study01_p03:target_t4_400:source_t5_1200
8,62;104;3;81;7;40;79;24,study01/study01_p03:target_t24_0:source_t15_400;study01/study01_p05:target_t6_1200:source_t15_1200;study01/study01_p01:target_t0_1200:source_t5_400;study01/study01_p04:target_t9_800:source_t14_800;study01/study01_p01:target_t13_400:source_t6_400;study01/study01_p03:target_t2_400:source_t5_0;study01/study01_p04:target_t7_1200:source_t14_0;study01/study01_p01:target_t23_0:source_t12_1200
9,101;125;34;94;64;20;49;97,study01/study01_p05:target_t6_0:source_t15_0;study01/study01_p05:target_t25_800:source_t23_800;study01/study01_p03:target_t0_1200:source_t23_800;study01/study01_p04:target_t22_0:source_t19_800;study01/study01_p03:target_t24_800:source_t15_1200;study01/study01_p01:target_t21_0:source_t11_1200;study01/study01_p03:target_t6_1200:source_t9_400;study01/study01_p05:target_t0_0:source_t12_800
10,95;113;112;90;29;13;12;106,study01/study01_p04:target_t22_800:source_t19_1200;study01/study01_p05:target_t13_400:source_t20_0;study01/study01_p05:target_t13_0:source_t19_1200;study01/study01_p04:target_t21_0:source_t17_400;study01/study01_p01:target_t24_800:source_t16_800;study01/study01_p01:target_t17_0:source_t9_800;study01/study01_p01:target_t15_1200:source_t9_0;study01/study01_p05:target_t7_800:source_t17_400
11,114;10;72;70;51;120;27;58,study01/study01_p05:target_t13_800:source_t20_400;study01/study01_p01:target_t15_400:source_t8_0;study01/study01_p04:target_t1_1200:source_t12_400;study01/study01_p04:target_t1_400:source_t11_1200;study01/study01_p03:target_t12_400:source_t9_1200;study01/study01_p05:target_t18_0:source_t22_400;study01/study01_p01:target_t24_0:source_t16_0;study01/study01_p03:target_t17_0:source_t14_400
