fold,participant,role
0,1,outer_training
0,2,outer_training
0,5,outer_training
0,6,outer_training
0,8,outer_training
0,9,outer_training
0,10,evaluation
0,11,outer_training
0,13,outer_training
0,14,evaluation
0,16,outer_training
0,18,outer_training
0,20,evaluation
0,21,outer_training
0,22,outer_training
0,23,outer_training
0,26,evaluation
0,27,outer_training
0,29,outer_training
0,30,outer_training
1,1,outer_training
1,2,outer_training
1,5,outer_training
1,6,outer_training
1,8,evaluation
1,9,evaluation
1,10,outer_training
1,11,outer_training
1,13,evaluation
1,14,outer_training
1,16,evaluation
1,18,outer_training
1,20,outer_training
1,21,outer_training
1,22,outer_training
1,23,outer_training
1,26,outer_training
1,27,outer_training
1,29,outer_training
1,30,outer_training
2,1,outer_training
2,2,outer_training
2,5,evaluation
2,6,outer_training
2,8,outer_training
2,9,outer_training
2,10,outer_training
2,11,evaluation
2,13,outer_training
2,14,outer_training
2,16,outer_training
2,18,evaluation
2,20,outer_training
2,21,outer_training
2,22,outer_training
2,23,outer_training
2,26,outer_training
2,27,outer_training
2,29,outer_training
2,30,evaluation
3,1,evaluation
3,2,outer_training
3,5,outer_training
3,6,outer_training
3,8,outer_training
3,9,outer_training
3,10,outer_training
3,11,outer_training
3,13,outer_training
3,14,outer_training
3,16,outer_training
3,18,outer_training
3,20,outer_training
3,21,evaluation
3,22,evaluation
3,23,outer_training
3,26,outer_training
3,27,outer_training
3,29,evaluation
3,30,outer_training
4,1,outer_training
4,2,evaluation
4,5,outer_training
4,6,evaluation
4,8,outer_training
4,9,outer_training
4,10,outer_training
4,11,outer_training
4,13,outer_training
4,14,outer_training
4,16,outer_training
4,18,outer_training
4,20,outer_training
4,21,outer_training
4,22,outer_training
4,23,evaluation
4,26,outer_training
4,27,evaluation
4,29,outer_training
4,30,outer_training
