successful_update,pair_indices,pair_keys
1,4;31;32;16;132;104;15;93,study03/study03_p03:target_t6_0:source_t21_800;study03/study03_p03:target_t25_1200:source_t13_400;study03/study03_p19:target_t3_0:source_t0_800;study03/study03_p03:target_t18_0:source_t2_800;study03/study03_p25:target_t7_1200:source_t8_400;study03/study03_p24:target_t8_400:source_t1_1200;study03/study03_p03:target_t10_1200:source_t2_400;study03/study03_p23:target_t5_1200:source_t6_400
2,126;40;22;56;110;63;88;14,study03/study03_p25:target_t6_400:source_t1_1200;study03/study03_p19:target_t8_0:source_t4_1200;study03/study03_p03:target_t22_800:source_t8_400;study03/study03_p19:target_t20_0:source_t12_1200;study03/study03_p24:target_t15_400:source_t3_800;study03/study03_p22:target_t4_400:source_t3_1200;study03/study03_p23:target_t4_800:source_t3_0;study03/study03_p03:target_t10_800:source_t2_0
3,3;127;116;87;30;142;141;84,study03/study03_p03:target_t3_1200:source_t21_400;study03/study03_p25:target_t6_800:source_t5_0;study03/study03_p24:target_t19_1200:source_t7_0;study03/study03_p23:target_t4_400:source_t1_1200;study03/study03_p03:target_t25_800:source_t13_0;study03/study03_p26:target_t2_400:source_t1_800;study03/study03_p26:target_t2_0:source_t1_400;study03/study03_p23:target_t2_800:source_t1_0
4,41;117;85;52;57;118;122;124,study03/study03_p19:target_t8_400:source_t7_0;study03/study03_p24:target_t21_0:source_t7_800;study03/study03_p23:target_t2_1200:source_t1_400;study03/study03_p19:target_t19_0:source_t11_1200;study03/study03_p19:target_t20_1200:source_t13_0;study03/study03_p24:target_t21_400:source_t7_1200;study03/study03_p24:target_t22_400:source_t11_0;study03/study03_p24:target_t22_1200:source_t11_1200
5,99;146;62;26;121;47;33;50,study03/study03_p23:target_t16_400:source_t9_1200;study03/study03_p26:target_t5_400:source_t7_400;study03/study03_p22:target_t4_0:source_t3_800;study03/study03_p03:target_t24_800:source_t12_0;study03/study03_p24:target_t22_0:source_t10_800;study03/study03_p19:target_t16_1200:source_t9_800;study03/study03_p19:target_t3_400:source_t0_1200;study03/study03_p19:target_t17_800:source_t11_400
6,92;11;75;69;37;78;44;100,study03/study03_p23:target_t5_800:source_t6_0;study03/study03_p03:target_t9_1200:source_t1_400;study03/study03_p22:target_t12_400:source_t9_1200;study03/study03_p22:target_t7_1200:source_t6_400;study03/study03_p19:target_t6_400:source_t4_0;study03/study03_p22:target_t13_0:source_t11_800;study03/study03_p19:target_t16_0:source_t7_1200;study03/study03_p23:target_t16_800:source_t11_0
7,17;9;107;23;42;2;131;66,study03/study03_p03:target_t18_400:source_t2_1200;study03/study03_p03:target_t9_400:source_t23_1200;study03/study03_p24:target_t9_800:source_t2_800;study03/study03_p03:target_t22_1200:source_t8_800;study03/study03_p19:target_t8_800:source_t7_400;study03/study03_p03:target_t3_800:source_t21_0;study03/study03_p25:target_t7_800:source_t8_0;study03/study03_p22:target_t7_0:source_t5_800
8,155;137;55;108;120;135;90;82,study03/study03_p27:target_t16_400:source_t1_400;study03/study03_p25:target_t18_0:source_t9_800;study03/study03_p19:target_t19_1200:source_t12_800;study03/study03_p24:target_t9_1200:source_t2_1200;study03/study03_p24:target_t21_1200:source_t10_400;study03/study03_p25:target_t14_800:source_t9_0;study03/study03_p23:target_t5_0:source_t3_800;study03/study03_p23:target_t2_0:source_t0_800
9,46;5;48;136;114;77;61;95,study03/study03_p19:target_t16_800:source_t9_400;study03/study03_p03:target_t6_400:source_t21_1200;study03/study03_p19:target_t17_0:source_t9_1200;study03/study03_p25:target_t14_1200:source_t9_400;study03/study03_p24:target_t19_400:source_t6_0;study03/study03_p22:target_t12_1200:source_t11_400;study03/study03_p22:target_t1_1200:source_t3_400;study03/study03_p23:target_t8_400:source_t6_1200
10,27;76;109;103;18;35;1;70,study03/study03_p03:target_t24_1200:source_t12_400;study03/study03_p22:target_t12_800:source_t11_0;study03/study03_p24:target_t15_0:source_t3_0;study03/study03_p24:target_t5_1200:source_t1_800;study03/study03_p03:target_t18_800:source_t7_400;study03/study03_p19:target_t3_1200:source_t2_0;study03/study03_p03:target_t3_400:source_t20_1200;study03/study03_p22:target_t8_0:source_t6_800
11,113;60;59;134;147;80;156;94,study03/study03_p24:target_t19_0:source_t4_1200;study03/study03_p22:target_t1_800:source_t3_0;study03/study03_p22:target_t1_400:source_t2_1200;study03/study03_p25:target_t14_400:source_t8_1200;study03/study03_p26:target_t5_800:source_t7_800;study03/study03_p22:target_t13_800:source_t14_0;study03/study03_p27:target_t16_1200:source_t1_800;study03/study03_p23:target_t8_0:source_t6_800
