fold,participant,sample,session,support_actual_task,support_starts,task,wrong_actual_task,wrong_owner,wrong_support_starts
3,sub-17,0,ses-03,ERP,3989;1699;5857;10545;10368;3930;7003;10800;2329;10851;2258;438;9645;5374;7096;1492,ERP,ERP,sub-03,5379;2647;1230;3701;3198;1701;5774;600;4727;9901;10770;2189;3263;4477;5625;884
3,sub-18,1,ses-04,SSVEP,5828;1835;2933;7726;4282;7166;4756;10896;4694;3504;11382;7296;3400;9532;4253;10702,SSVEP,SSVEP,sub-09,2460;4664;8647;10703;5376;10426;10030;10896;6474;6778;4351;3903;830;9606;10683;11653
3,sub-18,2,ses-03,ERP,8747;6060;1491;4963;7587;4327;5511;1229;708;1694;9179;3502;8653;4532;9747;1742,ERP,ERP,sub-05,993;11218;10708;2443;737;1825;4514;4737;6998;552;11259;3003;6449;2648;11245;4804
3,sub-18,3,ses-04,ERP,8669;9926;5029;1288;266;5416;10845;4951;6786;3916;114;3691;11185;6527;1075;5422,ERP,ERP,sub-17,64;9591;5454;3098;4585;1567;6734;3368;7129;11576;4434;11416;5604;8934;1433;2876
3,sub-17,4,ses-03,ERP,8772;373;7930;10935;655;4204;2031;9908;9635;10326;6286;3841;10141;5793;6737;10728,ERP,ERP,sub-07,8955;6894;7670;3175;11028;3831;4258;569;11355;4134;6726;7820;6808;10565;991;9977
3,sub-17,5,ses-02,SSVEP,8087;3895;8039;1594;7053;1770;10627;2168;9200;11362;5544;9033;5342;8292;5325;678,SSVEP,SSVEP,sub-12,2009;3353;10109;4004;6648;4994;7231;9812;862;849;7770;10545;5529;5893;3079;4426
3,sub-17,6,ses-03,SSVEP,4581;5473;11494;9837;1811;8370;5712;4721;3525;4823;10434;7990;11727;5001;1249;9498,SSVEP,SSVEP,sub-02,1080;1371;9300;10870;8760;8707;10617;5104;3435;1395;6837;9551;6805;925;11588;10876
3,sub-18,7,ses-02,SSVEP,728;7913;9624;3402;4182;10298;1446;10036;1238;9405;6244;11390;2576;495;8142;8765,SSVEP,SSVEP,sub-15,7047;31;6950;9810;9552;2190;1206;2463;6267;10107;3707;10770;8854;3957;3308;4211
3,sub-15,8,ses-02,ERP,7435;9169;9493;1480;1636;1823;9521;2934;7673;3131;7184;6369;8925;7840;3202;516,ERP,ERP,sub-24,11068;5875;5006;1984;10452;1825;9520;2897;11702;1176;5014;5835;985;5669;6848;9953
3,sub-17,9,ses-04,ERP,5621;10525;8736;2986;6760;4309;3551;2332;11785;4247;11619;4416;1057;8580;8641;3465,ERP,ERP,sub-12,357;1591;4526;1985;11741;5694;5575;9238;4759;1607;7598;316;6972;7890;10215;8964
3,sub-18,10,ses-03,ERP,10885;6752;4043;11733;4161;2310;10546;8224;10742;10967;11140;11653;1943;6785;6496;3960,ERP,ERP,sub-12,10839;1886;8804;3917;11152;8905;1299;4328;9050;9269;8521;7265;1488;5066;7157;6346
3,sub-18,11,ses-04,ERP,4503;10269;3780;10275;337;3684;10097;1826;5882;9677;21;4629;1401;345;8581;7823,ERP,ERP,sub-17,2696;8553;2547;5882;4715;8743;1519;5727;8084;9213;1564;8576;10957;7728;5587;7429
3,sub-17,12,ses-03,ERP,10383;8593;11139;5402;1771;5566;590;5089;4491;2956;2215;10447;1390;9643;9231;2605,ERP,ERP,sub-24,9143;2511;2725;7773;4886;10545;8736;114;1251;3229;9350;8642;10649;3627;2856;9403
3,sub-18,13,ses-03,SSVEP,10875;9711;796;7920;2895;2832;4621;5116;237;1122;2346;6711;10618;2203;10790;1114,SSVEP,SSVEP,sub-14,3876;3949;10813;7989;5179;495;1136;1081;451;2355;383;5432;383;7491;310;6915
3,sub-18,14,ses-03,ERP,6169;8202;10310;11080;9732;8278;3541;760;6252;6521;10450;10264;6667;3442;707;520,ERP,ERP,sub-24,6234;3196;406;8170;2792;8397;5963;1162;10375;431;2806;5903;7773;3960;8570;8961
3,sub-15,15,ses-02,SSVEP,3655;9860;533;1473;2202;5368;2034;11784;4367;470;3397;2511;6069;3734;8103;10895,SSVEP,SSVEP,sub-05,8981;11786;5949;4625;1220;10876;11501;10299;7310;6893;9809;7710;5074;10450;6546;2149
3,sub-17,16,ses-04,SSVEP,9414;1733;5297;10819;5274;3983;8835;9166;4996;1313;11722;8709;2023;4858;8687;10427,SSVEP,SSVEP,sub-09,6290;8068;6076;3915;217;6207;11181;3358;1617;7842;16;7976;10604;10558;6399;2335
3,sub-18,17,ses-04,SSVEP,11757;3119;5979;8133;1404;4893;953;4363;2995;8328;8809;7885;6629;3162;5387;8883,SSVEP,SSVEP,sub-02,5135;5435;8790;2365;3574;1226;7016;6251;1271;458;532;5684;11633;2295;9633;9515
3,sub-18,18,ses-03,SSVEP,8969;10227;8933;2711;5968;1638;7714;3999;4401;434;9342;1326;1791;10708;8933;3206,SSVEP,SSVEP,sub-11,5261;7945;10262;244;5692;2599;7812;1713;108;9860;2030;4283;2751;6305;6800;48
3,sub-15,19,ses-02,ERP,10172;5359;7450;9849;3607;9084;6291;4766;9157;2878;7291;10101;7202;10442;9396;329,ERP,ERP,sub-02,10365;10122;2267;5631;6230;9122;6978;620;8565;1212;2890;11635;10671;1365;9790;707
3,sub-15,20,ses-03,SSVEP,1293;3655;4349;8891;7063;11380;9679;7876;10595;7802;10735;2379;856;8748;488;1514,SSVEP,SSVEP,sub-05,8381;9910;5005;5472;9896;3836;7260;9577;9753;1310;11056;8003;2894;5726;9582;11586
3,sub-15,21,ses-03,ERP,10105;7502;6752;9528;8242;1226;2542;1981;9985;6562;2660;10173;2533;9806;7949;1528,ERP,ERP,sub-05,1665;9055;10434;3885;4517;4015;6030;5016;8965;9161;8284;7432;2651;3361;2899;7925
3,sub-18,22,ses-03,ERP,5382;5035;10114;10467;2455;7663;8950;7419;4391;221;6723;6589;7976;7721;11642;9996,ERP,ERP,sub-24,10113;2526;4024;689;4965;5477;5939;11123;3746;532;1546;3001;3897;1373;10909;2791
3,sub-17,23,ses-03,SSVEP,4133;4929;4068;455;6860;4620;5195;622;9907;2711;6732;743;10224;3523;1700;5498,SSVEP,ERP,sub-24,1051;7038;2586;9092;6634;6643;6569;3028;9847;2772;6603;8875;4912;7717;9339;8802
3,sub-18,24,ses-02,ERP,8306;11709;11446;1871;6292;7391;2160;3581;9258;5046;4241;5399;8473;3199;3357;11135,ERP,ERP,sub-09,3900;464;6785;9247;5703;3999;3111;9205;10550;376;3401;9591;5298;10497;1512;9236
3,sub-18,25,ses-03,SSVEP,5841;4764;566;10788;1975;7531;10204;10221;8152;4134;5213;980;6481;7179;1030;8847,SSVEP,SSVEP,sub-03,4266;3453;7669;5310;2922;5523;7245;6586;8484;7985;2985;5685;6169;3402;9415;11770
3,sub-17,26,ses-02,SSVEP,5025;1577;6494;2915;7965;11430;9770;3127;3800;5678;5625;9506;5332;4593;6890;9138,SSVEP,SSVEP,sub-15,9809;10480;6195;450;9997;6244;4623;838;8375;6323;8228;11787;2834;8646;8434;11745
3,sub-15,27,ses-04,ERP,11185;7107;4372;208;3426;7514;4118;1730;1260;7862;9501;10422;9574;5916;8844;4184,ERP,ERP,sub-24,7932;571;3703;2475;8835;3180;5433;2626;6123;8417;5737;2531;4234;6842;9545;1683
3,sub-18,28,ses-04,ERP,2799;1879;6208;10956;8170;9585;1431;4218;10956;245;5469;3956;5819;6603;4282;7668,ERP,ERP,sub-15,2020;9453;809;3727;11631;2621;666;7380;795;4509;6770;3035;1330;5392;3175;5973
3,sub-18,29,ses-04,ERP,5292;9233;9868;2525;10439;7204;11355;2682;8344;8356;1594;8655;10846;508;5593;1994,ERP,ERP,sub-09,9192;1083;9323;9771;11176;6948;10989;9235;2203;8106;8243;7597;3973;823;9033;7278
3,sub-18,30,ses-04,ERP,5885;2474;6512;7485;9630;1678;5706;4199;1747;2321;843;10121;11626;2317;26;4713,ERP,ERP,sub-03,9160;4578;11192;1583;5995;7710;8714;9052;9893;5332;460;805;2502;5993;11270;2732
3,sub-15,31,ses-04,ERP,1796;9582;8954;5580;9695;1635;11555;1269;9043;10447;3481;10337;7560;6963;5849;5789,ERP,ERP,sub-18,2879;4408;10264;4518;2717;219;7621;10673;6537;4059;10261;1408;3056;5941;9114;2808
3,sub-18,32,ses-03,ERP,2519;7120;6647;503;10301;10624;812;7733;3484;8058;464;567;10386;8570;5159;6565,ERP,ERP,sub-24,2259;178;10035;5321;2903;9704;1770;3764;1820;3375;10344;309;6507;858;1969;5277
3,sub-17,33,ses-02,ERP,5931;10012;2594;9407;6665;2198;221;3081;132;5469;5196;325;1364;5690;11247;8704,ERP,ERP,sub-18,9799;355;10943;7278;3156;384;3041;9251;4911;10124;9357;11235;5476;897;1820;5950
3,sub-17,34,ses-04,SSVEP,4868;10500;6800;5567;10255;8194;4519;2237;5473;1094;8337;4630;11439;10604;9859;3406,SSVEP,ERP,sub-24,2600;5189;1264;3716;684;8442;2947;4608;4582;8142;998;1704;9518;11531;6403;9170
3,sub-17,35,ses-04,ERP,3744;8944;4122;11370;8625;119;11263;1599;10391;3928;331;5250;10915;4320;11337;6493,ERP,ERP,sub-05,7608;9254;10126;1492;7435;5454;1639;8933;9066;9278;9883;6951;10217;3498;10616;322
3,sub-18,36,ses-03,SSVEP,2159;9887;1407;9507;7434;5406;11725;5650;1675;6844;2909;6826;7664;7073;6674;8146,SSVEP,ERP,sub-24,1198;10823;2409;6384;6746;11391;4612;2677;8254;369;2617;886;11166;364;2336;4156
3,sub-15,37,ses-02,ERP,9763;172;4503;1519;4400;6319;7554;11501;1328;10100;7669;3871;3946;5254;11325;2905,ERP,ERP,sub-17,9710;1728;8315;3022;659;8706;9423;1399;6332;6508;5237;4392;1565;3270;6323;2918
3,sub-18,38,ses-02,SSVEP,3282;813;10025;5479;954;11740;762;10118;4035;2977;8117;5590;1301;11447;7049;6142,SSVEP,SSVEP,sub-02,5655;6682;9269;4015;5746;1560;9297;3338;3165;7765;3891;7719;4465;2343;7824;3400
3,sub-15,39,ses-02,ERP,7106;1848;11395;7750;8146;10474;1735;5184;10625;8016;6819;3818;3172;5055;5426;741,ERP,ERP,sub-17,10019;6045;11392;5450;11483;8520;1588;3354;10148;11527;6828;6155;6979;9733;5192;11308
3,sub-18,40,ses-02,ERP,1590;7447;6309;8221;5061;7330;9313;7641;11796;8599;7514;319;498;3770;11275;10568,ERP,ERP,sub-02,8906;8;5120;10316;60;3274;870;2926;7297;1959;4651;9842;6896;8430;11340;3617
3,sub-17,41,ses-04,ERP,2781;9758;4265;7081;2279;10910;9487;6319;8148;10592;877;11431;601;5991;3334;224,ERP,ERP,sub-06,6969;10522;1430;6887;3895;7240;5681;1899;4641;9503;641;8069;6623;3841;8580;1648
