fold,participant,sample,session,support_actual_task,support_starts,task,wrong_actual_task,wrong_owner,wrong_support_starts
1,sub-06,0,ses-02,SSVEP,4440;6915;5566;4091;6009;2792;8853;2520;9529;4679;4031;10511;2072;6904;2371;8444,SSVEP,SSVEP,sub-05,11640;8005;2082;7789;9141;10781;2888;5645;1553;11080;1656;9310;10149;4678;2245;5096
1,sub-06,1,ses-03,SSVEP,6229;7964;7613;4881;3042;11340;9232;10458;2718;1054;6706;8968;5335;10567;6742;3982,SSVEP,SSVEP,sub-23,461;3181;5955;2799;4844;6419;5887;6852;5192;4432;8794;6080;8912;6253;10656;1752
1,sub-06,2,ses-03,ERP,1619;10795;10677;7733;9880;10457;543;1902;10934;3115;3641;4731;2477;8564;2685;4246,ERP,ERP,sub-19,2881;9985;1693;6659;6636;3141;8359;33;74;1157;3528;656;10240;2559;7478;5162
1,sub-06,3,ses-04,ERP,6966;3524;305;9163;2853;4168;2913;2180;908;9739;4355;11290;8300;10546;9545;3545,ERP,ERP,sub-07,10711;4703;11176;3550;4508;4633;8495;3116;8877;3865;2566;714;8660;9258;7732;11546
1,sub-09,4,ses-03,SSVEP,5590;10988;2586;8388;6917;3493;7875;5126;10914;6804;1292;10408;8935;7388;9499;1851,SSVEP,SSVEP,sub-17,11572;923;11278;2055;7644;7976;5657;10930;8738;3934;8526;11581;185;6410;6902;9693
1,sub-06,5,ses-04,ERP,10602;6625;7528;10677;9191;5274;3814;2335;3533;10469;8448;11215;9136;8656;3899;1173,ERP,ERP,sub-18,5512;10178;8374;9021;4388;6249;615;3274;1641;10858;8362;5288;544;9164;2956;4035
1,sub-06,6,ses-04,ERP,1796;7029;1574;8273;803;242;1457;1481;10367;883;8886;2544;7089;6370;1159;8071,ERP,ERP,sub-09,2361;11536;2479;10737;9107;7009;3076;5765;10106;6523;632;5772;1530;6292;1516;11277
1,sub-07,7,ses-03,ERP,7636;10202;5224;4885;5492;2207;487;2089;4354;647;717;2302;5263;6257;3377;10785,ERP,ERP,sub-05,6793;2497;1608;9981;8599;11386;2758;575;9034;3750;11125;8558;3764;7844;8403;4587
1,sub-06,8,ses-02,SSVEP,6372;1803;10713;8675;1083;5481;5192;712;9989;8177;6353;9178;1126;5602;9961;5296,SSVEP,SSVEP,sub-09,9396;6526;1120;8133;3112;2970;7550;9576;1190;4828;1932;7614;10266;6122;9315;2818
1,sub-06,9,ses-03,ERP,10498;3709;3079;2557;3183;5185;10776;1403;9687;8401;2671;9947;10867;981;6291;2011,ERP,ERP,sub-17,10493;6331;2550;3076;7063;11483;10433;10372;8062;1879;7040;6714;10479;1316;5171;10753
1,sub-07,10,ses-02,SSVEP,3968;7734;1890;330;10714;620;502;4002;2460;8456;1683;1865;2614;8367;1606;8521,SSVEP,SSVEP,sub-19,3928;11700;2875;7335;1281;6369;7158;10907;8569;7715;7316;248;8628;549;9149;11204
1,sub-06,11,ses-02,ERP,2045;1261;11273;289;3622;4209;10397;5881;10302;8002;5064;11013;7023;7387;6666;8038,ERP,ERP,sub-17,9354;2597;8119;6586;4104;2394;7455;9892;525;10125;1722;11070;6854;1392;6055;2340
1,sub-09,12,ses-04,ERP,5392;3949;1208;5109;1754;1481;5095;3540;10819;11174;3001;139;1338;2203;9231;4944,ERP,ERP,sub-17,2609;1977;11403;2956;2343;8704;4604;10655;7136;8604;4029;6400;11296;10852;9302;7238
1,sub-06,13,ses-02,SSVEP,2703;778;2485;1257;7441;7190;1622;1293;6839;10704;5634;5393;8516;4052;10580;10409,SSVEP,SSVEP,sub-15,1605;3908;2573;3053;1461;7502;9437;7867;10076;9357;2903;6926;9180;11586;6327;8149
1,sub-07,14,ses-03,ERP,5484;7163;4843;2874;9496;5970;4425;10828;3585;6039;2232;9619;9295;8068;4183;8263,ERP,ERP,sub-03,2283;579;8382;3431;9847;457;7944;9304;6934;1223;6827;9;8719;3332;9313;440
1,sub-07,15,ses-04,ERP,11478;7676;6618;4978;10579;1499;1362;584;6445;2969;5750;10328;11095;2411;5265;4698,ERP,ERP,sub-24,9239;7090;372;11064;1088;3416;427;5260;558;8086;8660;2262;9970;5236;5982;543
1,sub-09,16,ses-02,SSVEP,1385;6161;9629;5996;10814;8386;619;11256;3551;4932;8093;8811;3014;9831;7694;5864,SSVEP,SSVEP,sub-05,7221;4993;2054;2335;1014;10849;1653;4244;11046;3313;8853;10472;3091;952;161;6436
1,sub-07,17,ses-02,ERP,1539;3359;9918;10191;1889;7366;11626;2767;6430;5878;755;1630;129;2921;11210;2588,ERP,ERP,sub-18,280;361;3127;8864;5573;1873;20;1336;411;4965;7661;6733;1701;2234;280;156
1,sub-07,18,ses-04,ERP,2758;502;2641;16;7077;9738;6486;1078;314;342;8622;9039;11376;7451;3311;11558,ERP,ERP,sub-19,10440;4818;4164;3275;8610;11097;3186;1471;1374;366;6173;3173;3713;3003;11607;337
1,sub-07,19,ses-02,ERP,7139;9201;10789;765;4524;5101;5269;7919;9013;764;3268;7406;7010;2;10633;19,ERP,ERP,sub-06,7343;5065;600;486;126;11062;4256;8294;2575;176;10342;3510;4754;4699;10134;11032
1,sub-07,20,ses-04,SSVEP,3531;3232;3751;261;4667;5073;7693;627;2294;1899;5902;691;9574;7502;1609;3446,SSVEP,SSVEP,sub-09,7422;5468;6627;4652;5494;10082;866;11490;7944;9177;5807;5362;5682;10175;4893;9707
1,sub-07,21,ses-03,SSVEP,7207;8838;5403;1781;9307;7742;2826;6557;2652;11269;788;10203;10104;117;5438;1701,SSVEP,SSVEP,sub-09,7078;1760;5029;361;1335;5809;1861;4651;10982;6010;7306;8641;7115;2152;9302;3984
1,sub-06,22,ses-02,ERP,3458;5618;6600;2254;6102;10607;4560;39;1764;6174;7979;7886;9445;3466;4853;3375,ERP,ERP,sub-19,11558;10813;9993;682;6563;10923;6568;4277;6632;2817;7468;10582;7338;9016;4190;2278
1,sub-09,23,ses-02,SSVEP,3145;1864;2382;3593;9647;1938;9367;3293;5498;5037;4462;6551;6627;353;1997;7465,SSVEP,SSVEP,sub-15,8068;10878;4827;1119;7347;3659;7734;8384;5075;6765;7000;2191;2384;11222;4639;4697
1,sub-09,24,ses-02,SSVEP,1356;348;8637;2191;5532;187;2062;11488;7612;2595;5838;5321;404;3808;4247;7073,SSVEP,SSVEP,sub-07,6962;600;10561;5393;8795;4288;10736;1162;4958;10242;1636;4002;11260;599;4972;5742
1,sub-06,25,ses-02,SSVEP,7535;5001;11176;8362;3477;1448;794;886;4359;230;3739;5110;5697;6352;8636;2015,SSVEP,SSVEP,sub-23,6024;3288;10683;11046;474;7512;8423;3142;7759;4641;2895;9510;9216;8954;10319;8761
1,sub-07,26,ses-04,SSVEP,11229;619;987;9512;5119;9745;1104;6737;2088;2745;6914;5598;4451;2840;7501;1778,SSVEP,SSVEP,sub-09,11244;2279;10686;2234;4034;7036;8945;8796;11776;3300;2092;1649;9738;11414;2764;6060
1,sub-07,27,ses-04,SSVEP,9696;8510;2521;1830;9952;11;361;9241;11565;9674;9384;10934;4526;1782;9508;3252,SSVEP,SSVEP,sub-06,6720;3778;10035;10888;8643;4310;11003;5057;5472;8901;6583;592;7052;7368;615;11722
1,sub-09,28,ses-02,ERP,4369;8020;347;4637;6743;3460;7122;464;9909;1992;9139;10290;7311;11510;10307;10932,ERP,ERP,sub-21,4733;9790;6181;2901;1729;4558;11641;8897;1472;2544;4472;1987;9738;10152;1808;4629
1,sub-06,29,ses-03,SSVEP,8837;2253;7763;6416;5729;3359;3988;10004;5281;3285;8447;4851;1119;5591;10475;10519,SSVEP,SSVEP,sub-18,10326;10598;9536;2304;10542;6624;5277;2846;9246;3148;10545;9783;10555;10955;4841;4994
1,sub-09,30,ses-02,SSVEP,11723;8176;9420;4019;11328;8444;7194;344;6662;7692;9546;5616;3018;1884;1848;7968,SSVEP,SSVEP,sub-06,11556;1589;4033;1867;8979;4182;6851;3126;4093;4028;8362;9669;8245;4526;4249;5076
1,sub-07,31,ses-03,ERP,4772;2706;8137;6331;7385;3597;5812;4056;286;5253;2986;3697;2688;4882;7661;8469,ERP,ERP,sub-17,11285;6755;8544;4914;469;4838;4666;8468;5224;9549;8211;9727;8613;11489;7997;1412
1,sub-06,32,ses-02,ERP,7824;11498;11581;2563;6235;5572;1916;11704;651;865;3342;6909;1137;9358;7476;9246,ERP,ERP,sub-18,10344;633;2280;1550;8166;6014;7829;2246;2757;119;3933;2307;5110;3619;585;3929
1,sub-07,33,ses-03,SSVEP,9153;1710;82;9388;523;2507;2308;2943;11402;2981;10587;6269;3596;2523;3020;10231,SSVEP,SSVEP,sub-18,637;8505;10079;10984;3219;2043;10819;7588;5957;48;10386;4153;2999;7447;7622;8733
1,sub-07,34,ses-02,SSVEP,365;802;267;11439;9731;7859;11000;11194;2680;6143;5818;11394;3459;8888;5280;4619,SSVEP,SSVEP,sub-18,8377;3333;10375;10183;1838;11790;3373;1470;2428;332;11517;6747;2654;1478;4364;3051
1,sub-09,35,ses-03,ERP,9711;4686;11443;6100;9478;3140;5017;11588;3171;5915;10688;3869;2919;6288;11449;10451,ERP,ERP,sub-17,8935;7261;1999;6172;7771;3948;8639;6692;2299;1559;2599;3331;2629;3500;6480;164
1,sub-09,36,ses-03,ERP,7113;2752;9591;5604;1334;1429;2166;2282;1577;10674;9186;1175;5338;7328;5270;3076,ERP,ERP,sub-21,2239;774;4092;4475;6912;5747;3964;1049;7190;7222;3369;1125;8783;1527;4717;9681
1,sub-06,37,ses-03,SSVEP,7929;10226;1497;8199;718;6557;10504;4863;3623;1111;6168;6564;883;162;7898;7548,SSVEP,SSVEP,sub-03,360;4594;8973;1664;6581;2638;5526;6660;4267;1279;4428;2276;10081;10436;7532;5123
1,sub-06,38,ses-02,SSVEP,3895;9042;432;7116;3946;10416;7201;8281;7771;8557;4696;1445;11170;2755;9221;1201,SSVEP,SSVEP,sub-21,10718;5457;11255;7728;3554;9797;3138;10560;801;11634;4273;6264;1485;2823;2102;10341
1,sub-07,39,ses-03,ERP,6327;7748;11190;5465;9365;8132;11627;5629;2983;9441;8914;5222;9764;3400;11582;539,ERP,ERP,sub-23,10252;5729;6257;11770;1926;3062;10256;3269;122;8662;10687;11553;816;2669;8874;10747
1,sub-07,40,ses-03,SSVEP,3341;596;10529;4701;5824;11300;8684;355;5435;9572;10676;9287;6411;1671;7964;10396,SSVEP,SSVEP,sub-06,10380;290;1569;814;5469;3996;812;7813;9935;2050;6647;9573;11519;2675;448;2179
1,sub-06,41,ses-03,SSVEP,11674;4559;6681;7953;3360;5056;1036;3748;6852;10411;8315;10468;5655;3991;9569;8824,SSVEP,SSVEP,sub-18,9160;4904;5722;7073;5053;11052;8669;2561;11509;10249;4074;8470;6650;5796;1997;7413
1,sub-06,42,ses-04,ERP,2167;8783;10238;305;2675;6740;8718;6055;10429;7207;8739;9072;10791;7406;5455;8741,ERP,ERP,sub-23,4316;3785;320;9135;3433;9922;2293;6033;2833;4394;10511;3503;327;1892;7470;11592
1,sub-09,43,ses-02,ERP,7895;3475;5433;898;3850;10709;3416;6735;9266;11058;6834;7604;6813;8396;686;237,ERP,ERP,sub-15,1288;2210;8608;302;2068;6724;3340;2607;7667;4477;11539;8758;6691;8394;9131;11541
1,sub-09,44,ses-04,SSVEP,420;3780;10112;6193;3068;6866;6674;7413;5549;1712;8870;2429;8290;572;4408;10539,SSVEP,SSVEP,sub-15,8713;8396;1262;4300;10623;811;4812;8191;2432;3994;7002;10316;9178;4617;378;591
1,sub-09,45,ses-03,SSVEP,4662;2039;7487;6052;8026;10101;1898;9494;4823;3992;323;1025;2459;5741;2503;8047,SSVEP,SSVEP,sub-21,7539;1894;6095;3073;10810;9340;9132;739;9585;1304;6622;6871;9817;3081;1025;3536
