fold,participant,sample,session,support_actual_task,support_starts,task,wrong_actual_task,wrong_owner,wrong_support_starts
2,sub-12,0,ses-03,ERP,8205;7763;5758;4041;3149;7049;5842;7670;6920;5861;4505;6891;37;10414;2655;679,ERP,ERP,sub-21,2812;5582;10366;10892;8957;1078;4808;10892;2389;8427;10281;7310;457;1713;6438;10551
2,sub-11,1,ses-03,SSVEP,11212;10085;11793;10402;9943;6869;3306;6316;8140;11782;5521;4258;5047;9655;6914;2573,SSVEP,SSVEP,sub-02,2736;3308;1600;2963;1959;8498;11097;8102;11778;1282;5598;3590;2655;3631;2827;8171
2,sub-11,2,ses-03,ERP,4751;8768;9850;9975;9562;6024;1916;11153;6722;1064;937;2973;8172;1769;4227;1994,ERP,ERP,sub-14,2365;9929;11268;2704;8391;3901;8732;4965;3584;6879;8950;5600;11703;10408;8058;11224
2,sub-11,3,ses-04,ERP,2134;934;5217;8636;1281;2837;7356;766;11640;3556;8188;3122;9655;9569;5566;3548,ERP,ERP,sub-02,9300;3347;10706;9527;11142;10485;2797;11206;5599;4244;2610;8936;4849;4392;1229;11217
2,sub-14,4,ses-03,SSVEP,7354;311;10107;6639;5344;11116;7272;1363;4184;4533;9141;1915;7195;3881;1707;3857,SSVEP,SSVEP,sub-11,656;2729;430;8422;5300;11431;7942;1480;3361;786;2988;8288;4553;8136;9041;11325
2,sub-11,5,ses-04,ERP,10209;3434;7194;2670;1905;2687;3910;269;11720;1869;3878;11750;1259;6659;1196;236,ERP,ERP,sub-24,10804;2897;8156;7245;39;2070;4926;10308;1162;9592;4513;1458;10705;9760;4869;4157
2,sub-12,6,ses-03,SSVEP,11248;10068;2469;2572;9212;4079;3904;1474;10890;6872;10322;4348;10206;3767;7032;11789,SSVEP,SSVEP,sub-06,5876;8979;2960;5057;7005;5853;1223;3786;316;11052;8789;6971;7041;1313;1934;2609
2,sub-12,7,ses-03,ERP,5142;4421;7440;9882;2718;7710;11747;8502;123;950;8910;11310;6686;3480;3021;4935,ERP,ERP,sub-19,131;3242;6232;5752;359;1342;2488;5131;5429;903;3119;3896;5538;11240;724;3508
2,sub-12,8,ses-03,ERP,13;3497;10734;11496;2533;4097;804;6709;11334;11365;3393;11375;678;3471;2829;8078,ERP,ERP,sub-06,7548;10541;595;4648;4010;2340;4406;8538;1300;3876;11701;591;5601;7025;90;2901
2,sub-14,9,ses-03,SSVEP,6102;1961;151;8746;11599;7189;9884;10889;9955;9107;5943;269;2537;9011;1467;10669,SSVEP,SSVEP,sub-09,3088;1172;5714;8087;4526;11748;8367;7110;8131;6651;3382;6287;1007;4126;10604;8904
2,sub-11,10,ses-04,SSVEP,3641;5496;1498;11230;3321;6290;9439;6711;2711;7558;4117;10003;2511;8908;5468;9564,SSVEP,SSVEP,sub-21,6785;8644;10070;11084;6211;3057;9219;9747;3694;7482;6031;10365;212;5730;8860;11671
2,sub-14,11,ses-04,ERP,8384;1281;855;9133;7555;905;7944;2384;5591;11358;1206;4237;5753;8754;10060;5817,ERP,ERP,sub-24,6350;825;5116;5652;7549;1934;3930;10250;2194;9682;6563;7322;2548;2720;2248;8954
2,sub-14,12,ses-02,ERP,1307;6291;2563;6924;4816;1960;2033;4295;10007;1377;10293;9743;4732;3762;5255;4909,ERP,ERP,sub-12,5989;2171;11782;262;7606;461;4236;436;5184;8765;4056;11025;1414;3954;3064;2924
2,sub-14,13,ses-02,SSVEP,4590;8872;5380;4533;8203;9896;8752;9883;11047;1105;4165;3697;7000;10748;10722;2857,SSVEP,SSVEP,sub-12,6126;1514;5763;9125;10211;8309;1661;2613;9071;1310;9885;334;3851;5737;2044;4846
2,sub-14,14,ses-03,SSVEP,5169;2246;8507;3430;6002;7324;7626;7687;4299;7700;6028;2629;10848;5896;9154;10625,SSVEP,ERP,sub-24,510;2302;9286;3449;6498;8970;9282;10510;10484;4372;8178;1820;397;1904;10464;7931
2,sub-14,15,ses-02,SSVEP,10908;9870;7198;8016;996;5929;7384;7299;3451;2213;502;4361;5847;7620;3780;10435,SSVEP,SSVEP,sub-09,448;6214;316;28;5522;6403;8128;11788;6665;6513;8216;3060;10792;6134;7423;4129
2,sub-12,16,ses-03,SSVEP,10578;871;7529;10059;7558;8373;3253;2077;3859;10032;10809;61;626;8498;3320;3952,SSVEP,SSVEP,sub-14,5906;732;3128;5610;2643;9390;605;2514;1727;2514;1893;5921;8503;318;5322;6034
2,sub-12,17,ses-02,SSVEP,10920;4658;3851;994;2354;1104;5857;5798;8542;6660;324;4102;5645;7170;6743;181,SSVEP,SSVEP,sub-05,8198;9555;11507;4575;1666;4047;1750;8122;10995;2436;9882;9374;3780;6813;4717;7133
2,sub-11,18,ses-04,SSVEP,3018;2927;920;747;10340;5728;6389;2891;4971;6684;11191;10941;5315;4856;1031;79,SSVEP,SSVEP,sub-05,1898;3188;7756;9610;9381;2770;9640;5794;10818;9509;406;2147;11642;11064;1071;4550
2,sub-12,19,ses-03,SSVEP,8811;2099;2868;6329;3535;10001;4990;10824;8839;84;8293;6382;8798;7593;1268;4157,SSVEP,ERP,sub-24,10077;6681;10710;2166;7875;3488;6379;7677;1880;5617;11123;653;11692;4841;77;7496
