fold,participant,sample,session,support_actual_task,support_starts,task,wrong_actual_task,wrong_owner,wrong_support_starts
4,sub-21,0,ses-02,SSVEP,11659;8037;11110;5374;8706;1689;10210;8213;7786;678;11614;3137;6805;1885;2057;7796,SSVEP,ERP,sub-24,3196;9477;53;2226;5413;2453;5567;522;10002;4741;2921;8564;7690;3151;4651;9482
4,sub-23,1,ses-02,ERP,3455;1033;6613;7338;9433;9652;945;2131;5879;1886;8857;10704;3578;5709;387;11613,ERP,ERP,sub-06,10577;6819;4353;11655;6405;1710;11479;3079;5069;881;10981;11364;1710;10806;11592;5815
4,sub-19,2,ses-04,ERP,3036;3673;3088;5824;2472;1802;10765;7516;9882;10468;10943;7393;1195;10790;10018;8636,ERP,ERP,sub-21,6580;11527;10434;2623;1670;948;7868;10102;11030;7122;11212;9012;59;9241;7094;9124
4,sub-23,3,ses-04,SSVEP,1176;11349;1149;11227;5494;5503;119;2336;10764;7836;11767;979;8743;2626;11301;10719,SSVEP,SSVEP,sub-06,2140;6848;7326;11260;2054;11786;10456;3425;3417;2255;1643;11062;8667;10941;7871;8654
4,sub-19,4,ses-04,SSVEP,1729;10166;4540;10312;8878;4702;11023;6369;10247;321;3511;6481;1411;9269;10246;8398,SSVEP,SSVEP,sub-17,8024;605;11301;11697;11460;6145;5107;6319;8079;8689;1662;4634;803;1584;6975;5357
4,sub-19,5,ses-02,ERP,10327;2003;97;2126;3112;8870;2637;1731;268;10700;2726;4636;4020;11744;9424;754,ERP,ERP,sub-07,10876;1174;921;10363;3901;2905;887;9080;10926;7475;11797;8472;9545;4154;6983;4551
4,sub-19,6,ses-03,ERP,8212;8666;9160;1351;684;4451;347;4937;6602;4879;1387;5617;8947;11489;392;11049,ERP,ERP,sub-17,9545;9367;10403;3544;343;8754;9334;6430;850;1492;9228;795;6245;4488;3740;1091
4,sub-21,7,ses-02,ERP,2597;4112;2301;6578;7555;6241;11216;1902;3450;2772;7433;3969;4466;4916;2962;4514,ERP,ERP,sub-09,2312;7342;3625;4163;3232;6988;2771;1347;11517;5184;3869;9795;11647;3948;9158;11700
4,sub-19,8,ses-02,ERP,1707;10017;132;9224;10868;7741;5750;8643;2326;9652;1273;4508;652;9660;3465;8602,ERP,ERP,sub-15,6750;2683;8077;10525;641;9861;5015;11669;6238;1414;11705;10221;8399;4642;6366;1642
4,sub-19,9,ses-04,SSVEP,10355;378;5164;2311;7683;10379;87;10567;2734;7610;8042;315;1423;1846;6009;7959,SSVEP,SSVEP,sub-07,7733;2465;2713;912;11528;1496;5168;3177;2094;55;8301;9192;10790;10852;11505;5170
4,sub-19,10,ses-02,ERP,6626;2517;6404;4336;9899;3543;9071;6507;9141;9385;7147;10819;290;9809;7734;916,ERP,ERP,sub-18,9930;4841;11407;1189;8934;549;11187;7182;556;5627;526;2821;3216;6761;10076;7761
