successful_update,pair_indices,pair_keys
1,4;75;15;17;56;44;30;63,study01/study01_p02:target_t4_400:source_t5_0;study01/study01_p04:target_t4_1200:source_t13_400;study01/study01_p02:target_t14_0:source_t10_1200;study01/study01_p02:target_t14_800:source_t11_400;study01/study01_p03:target_t16_1200:source_t14_0;study01/study01_p03:target_t4_1200:source_t7_400;study01/study01_p03:target_t0_0:source_t22_1200;study01/study01_p03:target_t24_800:source_t15_1200
2,76;87;26;91;89;57;116;97,study01/study01_p04:target_t7_0:source_t13_800;study01/study01_p04:target_t18_800:source_t16_1200;study01/study01_p02:target_t24_0:source_t13_800;study01/study01_p04:target_t21_800:source_t17_1200;study01/study01_p04:target_t21_0:source_t17_400;study01/study01_p03:target_t17_0:source_t14_400;study01/study01_p05:target_t16_400:source_t21_400;study01/study01_p05:target_t0_400:source_t12_1200
3,47;59;85;66;115;80;23;37,study01/study01_p03:target_t6_800:source_t9_0;study01/study01_p03:target_t17_800:source_t14_1200;study01/study01_p04:target_t18_0:source_t16_400;study01/study01_p04:target_t0_800:source_t11_0;study01/study01_p05:target_t16_0:source_t20_1200;study01/study01_p04:target_t9_800:source_t14_800;study01/study01_p02:target_t21_400:source_t12_1200;study01/study01_p03:target_t1_1200:source_t3_800
4,42;14;33;50;92;61;52;9,study01/study01_p03:target_t4_400:source_t5_1200;study01/study01_p02:target_t9_1200:source_t10_800;study01/study01_p03:target_t0_1200:source_t23_800;study01/study01_p03:target_t12_400:source_t9_1200;study01/study01_p04:target_t21_1200:source_t19_0;study01/study01_p03:target_t24_0:source_t15_400;study01/study01_p03:target_t12_1200:source_t13_0;study01/study01_p02:target_t6_800:source_t7_1200
5,78;117;69;11;93;74;120;41,study01/study01_p04:target_t7_1200:source_t14_0;study01/study01_p05:target_t16_800:source_t21_800;study01/study01_p04:target_t1_400:source_t11_1200;study01/study01_p02:target_t9_0:source_t8_800;study01/study01_p04:target_t22_0:source_t19_800;study01/study01_p04:target_t4_800:source_t13_0;study01/study01_p05:target_t18_400:source_t22_800;study01/study01_p03:target_t4_0:source_t5_800
6,46;18;101;108;22;1;88;77,study01/study01_p03:target_t6_400:source_t7_1200;study01/study01_p02:target_t14_1200:source_t11_800;study01/study01_p05:target_t6_400:source_t15_400;study01/study01_p05:target_t10_400:source_t19_0;study01/study01_p02:target_t21_0:source_t12_800;study01/study01_p02:target_t3_800:source_t2_400;study01/study01_p04:target_t18_1200:source_t17_0;study01/study01_p04:target_t7_400:source_t13_1200
7,31;106;109;121;60;99;25;43,study01/study01_p03:target_t0_400:source_t23_0;study01/study01_p05:target_t7_1200:source_t17_800;study01/study01_p05:target_t10_800:source_t19_400;study01/study01_p05:target_t18_800:source_t22_1200;study01/study01_p03:target_t17_1200:source_t15_0;study01/study01_p05:target_t0_1200:source_t14_800;study01/study01_p02:target_t21_1200:source_t13_400;study01/study01_p03:target_t4_800:source_t7_0
8,62;103;3;81;7;40;79;24,study01/study01_p03:target_t24_400:source_t15_800;study01/study01_p05:target_t6_1200:source_t15_1200;study01/study01_p02:target_t4_0:source_t2_1200;study01/study01_p04:target_t9_1200:source_t14_1200;study01/study01_p02:target_t6_0:source_t7_400;study01/study01_p03:target_t2_800:source_t5_400;study01/study01_p04:target_t9_0:source_t14_400;study01/study01_p02:target_t21_800:source_t13_0
9,100;124;34;94;64;20;49;96,study01/study01_p05:target_t6_0:source_t15_0;study01/study01_p05:target_t25_800:source_t23_800;study01/study01_p03:target_t1_0:source_t23_1200;study01/study01_p04:target_t22_800:source_t19_1200;study01/study01_p04:target_t0_0:source_t8_800;study01/study01_p02:target_t19_800:source_t12_0;study01/study01_p03:target_t12_0:source_t9_800;study01/study01_p05:target_t0_0:source_t12_800
10,95;112;111;90;29;13;12;105,study01/study01_p04:target_t22_1200:source_t20_0;study01/study01_p05:target_t13_400:source_t20_0;study01/study01_p05:target_t13_0:source_t19_1200;study01/study01_p04:target_t21_400:source_t17_800;study01/study01_p02:target_t24_1200:source_t15_400;study01/study01_p02:target_t9_800:source_t10_400;study01/study01_p02:target_t9_400:source_t10_0;study01/study01_p05:target_t7_800:source_t17_400
11,113;10;72;70;51;123;27;58,study01/study01_p05:target_t13_800:source_t20_400;study01/study01_p02:target_t6_1200:source_t8_0;study01/study01_p04:target_t4_0:source_t12_800;study01/study01_p04:target_t1_800:source_t12_0;study01/study01_p03:target_t12_800:source_t11_800;study01/study01_p05:target_t25_400:source_t23_400;study01/study01_p02:target_t24_400:source_t13_1200;study01/study01_p03:target_t17_400:source_t14_800
