fold,model,path,seed,sha256
0,V25_DeepSets_support_encoder,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260825/best_joint.pt,20260825,51ad7a595c0ac54505f925bee8c05cb4adc88d4251197a5f3ebd50a5eec1cc99
0,Conditional-WGAN-GP,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260950/wgan.pt,20260950,1d58edd0c9378bfb4d916437bcfc68cf09dc7daa8594674a57d557d5b7736edf
0,Conditional-Artifact-Diffusion,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260950/diffusion.pt,20260950,525d25176677294d4fe73caf3e96bde2ac5ff51526cb2b24fd871121167c886c
0,No-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260950/denoiser_0.pt,20260950,514745f52d55fda5cb513b8d3d6ae78d051f3b10b05a82a47990312d13aebc82
0,Real-Artifact-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260950/denoiser_1.pt,20260950,8ec3bb0ebc88a50d3c373d564ac680058fb6fabf9e54216da8914fbd8fd26290
0,Gaussian-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260950/denoiser_2.pt,20260950,7f9294a47d0d6115130e08723eb65db26680b12a3ebaf63b0bf673fbd276daca
0,WGAN-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260950/denoiser_3.pt,20260950,eb93350660863e78d56a997c00d2083d125649e013538527064716d34ad9add3
0,Diffusion-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260950/denoiser_4.pt,20260950,938cf0d13fad16135e9fe28262bcea421fea27d423723c488e0f52ca2a08d4b9
0,V25_DeepSets_support_encoder,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_0/seed_20260825/best_joint.pt,20260825,51ad7a595c0ac54505f925bee8c05cb4adc88d4251197a5f3ebd50a5eec1cc99
0,Conditional-WGAN-GP,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260951/wgan.pt,20260951,62a120fda101c227cc815f685666463b84d3eadfc2cd2743d2199a725affb91e
0,Conditional-Artifact-Diffusion,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260951/diffusion.pt,20260951,b76c09b55e6298f4f7867a02e7eb5bf3207f27779c1337817a6ba764ea7bc409
0,No-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260951/denoiser_0.pt,20260951,8b1434c057719d8112f9695a0009f917709451785d5dbd0367c99439138b026d
0,Real-Artifact-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260951/denoiser_1.pt,20260951,23a3059d9b1e2eeb68ba95dcae16a5e3d7c44c965e4572cbde5658cd6dd5dec3
0,Gaussian-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260951/denoiser_2.pt,20260951,55dd4e222aa808e070f9112b4ac0978cb1ae3864033b792e011556e4aa35754c
0,WGAN-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260951/denoiser_3.pt,20260951,7b2a1adefacb77cb2423e7ac3af42c50e94e260b3788bae9ff44d4ea92530f2d
0,Diffusion-Augmentation,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_0_seed_20260951/denoiser_4.pt,20260951,bf2ae0a5e9673172e1f83b2e09760a2276af9c290cd3329ecd92f34d04968e25
1,V25_DeepSets_support_encoder,/projects/EEG-foundation-model/derived/denoiseNet/setcalibdiff_v25/checkpoints/det/deepsets/fold_1/seed_20260825/best_joint.pt,20260825,14edb758767e6d7919c6a318dfe5a2e179a2edc0be006d3e9265ba5c8852141a
1,Conditional-WGAN-GP,/home/infres/yinwang/denoiseNet_artifact_diffaug_v39a/results/artifact_diffaug_v39a/runtime/fold_1_seed_20260950/wgan.pt,20260950,f7567a363d890b336b666f5b953556721361cff7855a23cc585adb13d75b0d73
