best_criterion,config,fold,model,parameters,path,seed,sha256,training_job,updates
joint,configs/sc_cdm_v28/pop_clean_det.yaml,0,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_0/seed_20260901/best_joint.pt,20260901,6d9996bf851937d4be7eb354cafc24d4abec9b5515e94ecdc455322dc9443157,938695,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,0,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_0/seed_20260902/best_joint.pt,20260902,6202da3f3a871fda70fe3c8504c3ed7afab2c93b5bab078f29f483a64a537104,938696,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,0,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_0/seed_20260903/best_joint.pt,20260903,fe01e94adabcc246c5e7e88207cc6132963bccb62cb53245f4d896293181782e,938701,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,1,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_1/seed_20260901/best_joint.pt,20260901,6bb978e9a29254125d871f126ab09b10ef27f5e7de0244effe3d5bc867870f35,938702,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,1,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_1/seed_20260902/best_joint.pt,20260902,e44d18f26f05f0f4bae6304dd4a5cce0b3599c6215b2c80377854f16e0b14bf6,938703,16500
joint,configs/sc_cdm_v28/pop_clean_det.yaml,1,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_1/seed_20260903/best_joint.pt,20260903,639c7887e98af2b167afd5d78a6d9d73c67cfed887575ad49cec219e89007cea,938708,19750
joint,configs/sc_cdm_v28/pop_clean_det.yaml,2,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_2/seed_20260901/best_joint.pt,20260901,b8f84b7d91bd46274fa2a08ba3757f9aa76034dfe18d19bcf462974fdce3e5f2,938709,19500
joint,configs/sc_cdm_v28/pop_clean_det.yaml,2,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_2/seed_20260902/best_joint.pt,20260902,31cf0f51ab499b20da7970dc401badfd58d6599b4c8163504ed3b67d94d4c39e,938710,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,2,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_2/seed_20260903/best_joint.pt,20260903,cd4713fb9317ab4707cf38e3e73ead9cbc036d302441186cc37943c54512460c,938711,27750
joint,configs/sc_cdm_v28/pop_clean_det.yaml,3,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_3/seed_20260901/best_joint.pt,20260901,74a54f9e838ee8721671eac6c5d175e24783e3af00f9e456d17720dcb5aa4e4c,938713,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,3,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_3/seed_20260902/best_joint.pt,20260902,6d32920d528b759130d4981246a11af7661385459a053ab03db70b248e96cf10,938740,23250
joint,configs/sc_cdm_v28/pop_clean_det.yaml,3,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_3/seed_20260903/best_joint.pt,20260903,ea91bfa28d7a4045d187d2c422271a3baf6c724ed751548b0ab52b54fd65dcec,938753,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,4,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_4/seed_20260901/best_joint.pt,20260901,e6f3784fed87eca84a180009b4acf6530737100cc7a9c41ef4181727c7f42ca9,938760,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,4,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_4/seed_20260902/best_joint.pt,20260902,2af262dcc2b69d6ee6791e2835dd49deea194a44cb1d6fcfbb140e6a225d03e5,938761,30000
joint,configs/sc_cdm_v28/pop_clean_det.yaml,4,pop_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_det/fold_4/seed_20260903/best_joint.pt,20260903,b6ce26f4601e832c10f6f3af713f675ee5eb5635297c98e09146e754e697dbaa,938694,30000
joint,configs/sc_cdm_v28/support_clean_det.yaml,0,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_0/seed_20260901/best_joint.pt,20260901,007303520ee528fdd2c3e14237dd50a663e9fda2467155d2005442496e5e2cb8,938764,22500
joint,configs/sc_cdm_v28/support_clean_det.yaml,0,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_0/seed_20260902/best_joint.pt,20260902,f142cae3985685dd2dfdd50fe0a6cc53a26f8a16fff66642db538fc372aefdba,938770,21500
joint,configs/sc_cdm_v28/support_clean_det.yaml,0,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_0/seed_20260903/best_joint.pt,20260903,a6e00b028b56e1205e8cc03a4c8b1c0212fbcdff81a18be4ee2a544b75eced1e,938798,21000
joint,configs/sc_cdm_v28/support_clean_det.yaml,1,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_1/seed_20260901/best_joint.pt,20260901,49dc0b8bc378cf87bf565c92f576b17be6c5027367602ed3378ae7ededd6e8a9,938808,9250
joint,configs/sc_cdm_v28/support_clean_det.yaml,1,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_1/seed_20260902/best_joint.pt,20260902,2ff7af1443bbcba0ea62327a50a78d920e5f9bb946798594af51d4dfa9641b85,938741,18000
joint,configs/sc_cdm_v28/support_clean_det.yaml,1,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_1/seed_20260903/best_joint.pt,20260903,7e8124eb474315a3eef127a40d0872e87f1f888ad429e743a19e6b28318b96d9,938776,13250
joint,configs/sc_cdm_v28/support_clean_det.yaml,2,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_2/seed_20260901/best_joint.pt,20260901,fb86aeb35fb5aba3ac5dd129dc51fbe906f4e75db12ff8c03289f66a34bbfcd9,938794,19250
joint,configs/sc_cdm_v28/support_clean_det.yaml,2,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_2/seed_20260902/best_joint.pt,20260902,a9537c1fd5b0a4344e5aa7222e9878db2c56437893c48bb23dce1fce245305bb,938797,18750
joint,configs/sc_cdm_v28/support_clean_det.yaml,2,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_2/seed_20260903/best_joint.pt,20260903,9adc74f50b905481ae0c6b5a237750b819e5fe55dadde8987a318d7d313a5f3a,938826,25250
joint,configs/sc_cdm_v28/support_clean_det.yaml,3,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_3/seed_20260901/best_joint.pt,20260901,714208b2ce9cde9c72447e9455c8a686202e0df9c23db94f787e5bc21d62c6e6,938765,5250
joint,configs/sc_cdm_v28/support_clean_det.yaml,3,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_3/seed_20260902/best_joint.pt,20260902,3b4dfdeb66727a2970e3b9a18f24d8a4a9dc255b955536ff0f2f7db3ebd2993c,938778,5000
joint,configs/sc_cdm_v28/support_clean_det.yaml,3,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_3/seed_20260903/best_joint.pt,20260903,7803cf4ea2f08081bb7f502dcbb796b3f03d2ae37e98b27423927bfbf1b219cf,938792,6250
joint,configs/sc_cdm_v28/support_clean_det.yaml,4,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_4/seed_20260901/best_joint.pt,20260901,35e43920b86bb04c0547161c6ff7a6d85edf1471ae14a8c319bf03ad1ca4dec9,938796,10500
joint,configs/sc_cdm_v28/support_clean_det.yaml,4,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_4/seed_20260902/best_joint.pt,20260902,6522e4cdc898d6738b2c79147869cddcb84c851b64479c022d29c2bdf9afb3b8,938803,16000
joint,configs/sc_cdm_v28/support_clean_det.yaml,4,support_det,386606,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/support_det/fold_4/seed_20260903/best_joint.pt,20260903,acca1d638f538d7590acbb3896c9f38a78f8f5bdb8c143639b9abe7f8c1b6268,938766,18750
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,0,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_0/seed_20260901/best_joint.pt,20260901,5609ec4f7ef3747ef131cf7794ed71631d5a6d8b277c43a03a6ddab10e804679,938795,12500
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,0,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_0/seed_20260902/best_joint.pt,20260902,d985b2b521e2e6688f9dcef244addaa8bdd2fca690d135b3a9e88385f039c51d,938800,10500
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,0,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_0/seed_20260903/best_joint.pt,20260903,b36e0653a067a03be04e49938506e1a651badedf6f76e32656c2bde5216b2175,938802,8250
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,1,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_1/seed_20260901/best_joint.pt,20260901,093da75d9018043f860c8b2454c02dcbee998cfd19a1219a49b83d3bb4b48f6b,938810,13000
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,1,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_1/seed_20260902/best_joint.pt,20260902,b6377423f09c04476b898765e15f1c04cfe9f7b10daa5aa76ece6dce4c4f53c8,938767,6750
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,1,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_1/seed_20260903/best_joint.pt,20260903,4ea49c548ec9d0e3709fc580c0e4c7feb6fdd50f409f9397ac33557d69477c58,938819,9250
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,2,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_2/seed_20260901/best_joint.pt,20260901,c57293d9b9917560a545c34f2f1a35f5023e328cf41ebddc1d7921275d80d7e2,938831,25000
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,2,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_2/seed_20260902/best_joint.pt,20260902,7060be7a8d3aa1a248e45a5297924ba6b179bbb55e2b6d52e83009b6f72a9ea7,938837,6500
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,2,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_2/seed_20260903/best_joint.pt,20260903,d07840a84f02d4ceec1ff06d7a4164580b749e4a24a0652ba9c149a4eead854e,938842,8250
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,3,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_3/seed_20260901/best_joint.pt,20260901,0eecaef3351d4f9f76a491fb429130ddda70c957638380c397dc293d2411d1da,938804,9000
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,3,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_3/seed_20260902/best_joint.pt,20260902,da1538423a88b2ee5e80c95c2a4638af7e5a9075f7aefa619daaf52ad45bf409,938839,8250
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,3,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_3/seed_20260903/best_joint.pt,20260903,008bc920e15a03d99651189b14886a497df86d159bf8030e4d929bff537fb4bf,938840,8000
joint,configs/sc_cdm_v28/pop_clean_cdm.yaml,4,pop_cdm,422574,/projects/EEG-foundation-model/derived/denoiseNet/sc_cdm_v28/checkpoints/selected/pop_cdm/fold_4/seed_20260901/best_joint.pt,20260901,83f9a5dc6f72d6cece65b2edec8a438f4c7ee76fbe626ce711e870abc5af047a,938848,8500
