successful_update,pair_indices,pair_keys
1,86;168;56;94;193;32;123;78,study02/study02_p10:target_t19_800:source_t21_400;study02/study02_p15:target_t14_400:source_t5_800;study02/study02_p06:target_t4_1200:source_t10_1200;study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p16:target_t18_0:source_t8_0;study02/study02_p03:target_t7_800:source_t2_0;study02/study02_p12:target_t18_1200:source_t11_800;study02/study02_p10:target_t10_400:source_t17_1200
2,9;205;238;76;185;80;207;166,study02/study02_p02:target_t12_400:source_t6_1200;study02/study02_p17:target_t0_800:source_t15_0;study02/study02_p18:target_t10_800:source_t12_400;study02/study02_p10:target_t3_800:source_t17_400;study02/study02_p16:target_t11_0:source_t3_1200;study02/study02_p10:target_t11_400:source_t18_400;study02/study02_p17:target_t5_1200:source_t15_800;study02/study02_p15:target_t10_800:source_t5_0
3,224;14;234;240;16;7;132;199,study02/study02_p17:target_t18_1200:source_t25_400;study02/study02_p02:target_t14_1200:source_t11_0;study02/study02_p18:target_t6_0:source_t11_400;study02/study02_p18:target_t16_800:source_t12_1200;study02/study02_p02:target_t18_400:source_t11_800;study02/study02_p02:target_t10_1200:source_t6_400;study02/study02_p13:target_t10_800:source_t9_1200;study02/study02_p16:target_t20_800:source_t10_400
4,186;117;110;208;100;5;211;60,study02/study02_p16:target_t11_400:source_t5_0;study02/study02_p12:target_t10_1200:source_t4_0;study02/study02_p12:target_t6_0:source_t1_400;study02/study02_p17:target_t7_0:source_t15_1200;study02/study02_p11:target_t14_1200:source_t3_400;study02/study02_p02:target_t10_400:source_t5_1200;study02/study02_p17:target_t7_1200:source_t19_1200;study02/study02_p06:target_t6_1200:source_t13_1200
5,190;70;116;87;66;167;126;178,study02/study02_p16:target_t15_400:source_t7_400;study02/study02_p06:target_t19_1200:source_t20_0;study02/study02_p12:target_t9_1200:source_t3_1200;study02/study02_p10:target_t19_1200:source_t21_800;study02/study02_p06:target_t11_800:source_t17_400;study02/study02_p15:target_t14_0:source_t5_400;study02/study02_p13:target_t4_0:source_t7_400;study02/study02_p16:target_t0_400:source_t2_0
6,227;203;22;46;15;4;10;82,study02/study02_p17:target_t20_800:source_t1_1200;study02/study02_p17:target_t0_0:source_t14_800;study02/study02_p03:target_t0_1200:source_t21_1200;study02/study02_p03:target_t15_1200:source_t9_800;study02/study02_p02:target_t18_0:source_t11_400;study02/study02_p02:target_t10_0:source_t5_800;study02/study02_p02:target_t12_800:source_t9_0;study02/study02_p10:target_t14_400:source_t20_0
7,215;134;177;191;40;52;226;3,study02/study02_p17:target_t13_0:source_t21_1200;study02/study02_p13:target_t11_400:source_t12_400;study02/study02_p16:target_t0_0:source_t1_1200;study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p03:target_t12_800:source_t6_0;study02/study02_p06:target_t3_400:source_t9_1200;study02/study02_p17:target_t20_400:source_t25_1200;study02/study02_p02:target_t7_800:source_t5_400
8,124;187;159;172;30;72;219;180,study02/study02_p12:target_t19_0:source_t11_1200;study02/study02_p16:target_t11_800:source_t5_400;study02/study02_p15:target_t7_400:source_t1_400;study02/study02_p15:target_t16_1200:source_t6_800;study02/study02_p03:target_t7_0:source_t24_1200;study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p17:target_t16_0:source_t22_1200;study02/study02_p16:target_t0_1200:source_t2_800
9,50;57;19;202;184;11;154;148,study02/study02_p03:target_t22_1200:source_t11_0;study02/study02_p06:target_t6_0:source_t12_0;study02/study02_p03:target_t0_0:source_t20_800;study02/study02_p16:target_t23_1200:source_t14_400;study02/study02_p16:target_t4_1200:source_t3_800;study02/study02_p02:target_t14_0:source_t9_400;study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p14:target_t10_800:source_t11_400
10,0;218;120;221;29;89;108;151,study02/study02_p02:target_t2_0:source_t3_800;study02/study02_p17:target_t13_1200:source_t22_800;study02/study02_p12:target_t14_800:source_t4_1200;study02/study02_p17:target_t16_1200:source_t24_400;study02/study02_p03:target_t5_1200:source_t24_800;study02/study02_p11:target_t1_400:source_t20_400;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p14:target_t15_400:source_t13_800
