successful_update,pair_indices,pair_keys
1,654;124;169;343;622;449;195;172,study05/study05_p50:target_t21_1024:source_t4_0;study05/study05_p41:target_t28_1536:source_t15_0;study05/study05_p43:target_t25_512:source_t6_1536;study05/study05_p45:target_t30_1024:source_t13_1024;study05/study05_p49:target_t19_1024:source_t3_1024;study05/study05_p47:target_t17_0:source_t0_1024;study05/study05_p43:target_t32_1024:source_t16_0;study05/study05_p43:target_t26_0:source_t7_1024
2,570;202;649;238;480;225;216;517,study05/study05_p48:target_t28_0:source_t9_1536;study05/study05_p43:target_t34_1536:source_t1_1024;study05/study05_p50:target_t19_1536:source_t2_1536;study05/study05_p44:target_t20_1024:source_t0_1536;study05/study05_p47:target_t24_1536:source_t9_0;study05/study05_p44:target_t17_512:source_t11_0;study05/study05_p44:target_t15_0:source_t8_0;study05/study05_p47:target_t34_0:source_t2_1024
3,0;453;501;664;10;540;337;434,study05/study05_p40:target_t18_0:source_t0_1024;study05/study05_p47:target_t18_0:source_t1_1024;study05/study05_p47:target_t30_0:source_t15_512;study05/study05_p50:target_t25_1024:source_t6_1024;study05/study05_p40:target_t20_1024:source_t3_0;study05/study05_p48:target_t20_0:source_t2_512;study05/study05_p45:target_t29_0:source_t11_1536;study05/study05_p46:target_t35_512:source_t14_512
4,119;356;25;459;227;239;427;560,study05/study05_p41:target_t27_1024:source_t12_1024;study05/study05_p45:target_t34_0:source_t0_1024;study05/study05_p40:target_t24_1024:source_t6_1536;study05/study05_p47:target_t19_1024:source_t3_0;study05/study05_p44:target_t17_1536:source_t11_1024;study05/study05_p44:target_t20_1536:source_t1_0;study05/study05_p46:target_t33_1024:source_t11_1536;study05/study05_p48:target_t25_512:source_t7_512
5,237;399;118;177;244;593;617;308,study05/study05_p44:target_t20_512:source_t0_1024;study05/study05_p46:target_t26_0:source_t4_1536;study05/study05_p41:target_t27_512:source_t11_1536;study05/study05_p43:target_t27_512:source_t8_1536;study05/study05_p44:target_t22_0:source_t2_512;study05/study05_p48:target_t35_1536:source_t2_1024;study05/study05_p49:target_t18_0:source_t2_512;study05/study05_p45:target_t19_1024:source_t4_0
6,441;24;411;522;194;685;378;204,study05/study05_p46:target_t37_0:source_t16_0;study05/study05_p40:target_t24_512:source_t6_1024;study05/study05_p46:target_t29_1024:source_t7_1536;study05/study05_p48:target_t15_512:source_t10_1536;study05/study05_p43:target_t32_512:source_t15_0;study05/study05_p50:target_t32_0:source_t11_1536;study05/study05_p46:target_t20_1536:source_t17_1024;study05/study05_p43:target_t35_512:source_t2_0
7,476;588;280;62;262;332;653;526,study05/study05_p47:target_t23_1536:source_t7_1024;study05/study05_p48:target_t34_0:source_t1_512;study05/study05_p44:target_t31_0:source_t12_1024;study05/study05_p40:target_t34_512:source_t17_512;study05/study05_p44:target_t26_1024:source_t6_1536;study05/study05_p45:target_t27_0:source_t10_512;study05/study05_p50:target_t21_512:source_t3_1536;study05/study05_p48:target_t16_512:source_t11_1536
8,364;410;51;406;297;145;600;84,study05/study05_p45:target_t36_512:source_t2_1024;study05/study05_p46:target_t29_512:source_t7_1024;study05/study05_p40:target_t31_1024:source_t14_1024;study05/study05_p46:target_t27_1536:source_t6_1024;study05/study05_p44:target_t35_512:source_t2_1536;study05/study05_p43:target_t18_512:source_t0_1536;study05/study05_p49:target_t12_0:source_t9_0;study05/study05_p41:target_t18_1536:source_t3_512
9,683;36;465;324;220;248;179;21,study05/study05_p50:target_t31_512:source_t11_512;study05/study05_p40:target_t27_1024:source_t9_1536;study05/study05_p47:target_t21_0:source_t4_1024;study05/study05_p45:target_t25_0:source_t8_512;study05/study05_p44:target_t16_0:source_t9_0;study05/study05_p44:target_t23_0:source_t3_512;study05/study05_p43:target_t27_1536:source_t9_512;study05/study05_p40:target_t23_1024:source_t5_1536
10,437;57;85;199;191;530;611;467,study05/study05_p46:target_t36_0:source_t15_0;study05/study05_p40:target_t33_0:source_t16_0;study05/study05_p41:target_t19_0:source_t3_1024;study05/study05_p43:target_t34_0:source_t0_1536;study05/study05_p43:target_t31_1024:source_t13_0;study05/study05_p48:target_t17_512:source_t14_512;study05/study05_p49:target_t15_0:source_t0_1536;study05/study05_p47:target_t21_1024:source_t5_0
