array_task,job_id,recovery_of,scientific_setting_changed,stage,status
,939563,,False,r0-preflight,accepted
,939609,,False,r0-preflight,accepted
,939564,,False,r1-duration-audit,accepted
,939602,,False,r10-tests,accepted
,939604,,False,r10-tests,accepted
,939606,,False,r10-tests,accepted
,939610,,False,r10-tests,accepted
,939616,,False,r10-tests,accepted
,939603,,False,r11-clean,failed
,939605,,False,r11-clean,failed
,939607,939605,False,r11-clean,recovery
,939611,,False,r11-clean,accepted
,939617,,False,r11-clean,accepted
,939608,,False,r12-package,accepted
,939615,,False,r12-package,accepted
,939565,,False,r2-materialize,accepted
14,939566,,False,r3-duration-infer,accepted
0,939567,,False,r3-duration-infer,accepted
1,939568,,False,r3-duration-infer,accepted
2,939569,,False,r3-duration-infer,accepted
3,939570,,False,r3-duration-infer,accepted
4,939571,,False,r3-duration-infer,accepted
5,939572,,False,r3-duration-infer,accepted
6,939573,,False,r3-duration-infer,accepted
7,939574,,False,r3-duration-infer,accepted
8,939575,,False,r3-duration-infer,accepted
9,939576,,False,r3-duration-infer,accepted
10,939577,,False,r3-duration-infer,accepted
11,939578,,False,r3-duration-infer,accepted
12,939579,,False,r3-duration-infer,accepted
13,939580,,False,r3-duration-infer,accepted
,939581,,False,r3-freeze,accepted
,939597,,False,r4-duration-aggregate,failed
,939598,939597,False,r4-duration-aggregate,recovery
14,939582,,False,r4-duration-evaluator,accepted
0,939583,,False,r4-duration-evaluator,accepted
1,939584,,False,r4-duration-evaluator,accepted
2,939585,,False,r4-duration-evaluator,accepted
3,939586,,False,r4-duration-evaluator,accepted
4,939587,,False,r4-duration-evaluator,accepted
5,939588,,False,r4-duration-evaluator,accepted
6,939589,,False,r4-duration-evaluator,accepted
7,939590,,False,r4-duration-evaluator,accepted
8,939591,,False,r4-duration-evaluator,accepted
9,939592,,False,r4-duration-evaluator,accepted
10,939593,,False,r4-duration-evaluator,accepted
11,939594,,False,r4-duration-evaluator,accepted
12,939595,,False,r4-duration-evaluator,accepted
13,939596,,False,r4-duration-evaluator,accepted
,939599,,False,r5-r8-documents,accepted
,939600,,False,r9-final-package,accepted
,939601,,False,r9-ledger,accepted
,939614,,False,r9-ledger,accepted
