comment,new_evidence,original_weakness,proposed_manuscript_change,response_wording,reviewer,status
major reconstruction and acceptable revised scope,Clean-room V20-V31 evidence chain and two explicit scopes.,Old dual-method evidence was not independently reproducible.,Replace old method/results with the selected evidence-aligned scope after AE guidance.,We completed a clean-room reconstruction and seek guidance on whether the audit-centric scope remains suitable as a major revision.,AE,requires_AE_guidance
strong denoising baselines,"EEGDfus, STANDARD, strong population DET, matched DET and subject-agnostic diffusion are included.",Original comparisons were too weak.,Add common-panel absolute tables and distinguish matched from strongest baseline.,"We added strong deterministic and diffusion controls and report absolute, not only relative, outcomes.",Reviewer 1,resolved
subject-agnostic DDPM,V26 PopSDEdit and V28/V29 population diffusion routes.,No clean subject-agnostic diffusion comparator.,Add explicit population-diffusion rows.,We now compare support-aware diffusion with frozen subject-agnostic diffusion under matched data and sampling.,Reviewer 1,resolved
RAW / STANDARD,V30 common panel reports RAW/STANDARD references.,Preprocessing contribution was unclear.,Expose observation and conventional preprocessing references.,RAW/STANDARD references are now separated from learned methods.,Reviewer 1,resolved
subject-component ablation,MATCH/POP/all-wrong/lagged/shuffled/mean-context controls.,Subject contribution was not isolated.,Add all-donor and falsification sections.,"The expanded controls show mixed, not established, correct-context specificity.",Reviewer 2,resolved
statistics and confidence intervals,Participant-first aggregation and bootstrap CIs.,Window-level evidence overstated biological sample size.,Describe participants as biological units and windows/seeds as repeated measurements.,We replaced window-level interpretation with participant-first summaries.,Reviewer 2,resolved
support amount,V31 exact 0/5/10/30/120 s prefix repair.,Calibration burden was not quantified.,Replace superseded V30 duration curve with V31 exact contract.,We corrected overlap and future-normalization errors and report acquisition and effective exposure separately.,Reviewer 2,resolved
sampling steps and latency,"V30 5/10/25 steps, A100 latency/memory, batch 1/16.",Diffusion cost was missing.,Add quality-latency and footprint table.,We report sampler-step sensitivity and fixed-hardware latency/memory.,Reviewer 2,resolved
privacy risk,V30 context/projector linkage top-1 and AUROC.,Subject state may act as an identifier.,Add linkage-risk audit and storage size; withdraw anonymity language.,The states are strongly linkable in development data; we do not claim privacy safety.,Reviewer 3,resolved
transductive limitation,Strict query-disjoint early support and EEG-only later query inference.,Target data usage and deployment setting were unclear.,Reframe as within-session query-disjoint calibration and state its limitation.,We use only a disjoint support bank at inference and make no cross-session claim.,Reviewer 3,resolved
additional dataset or montage,"Natural SGE development complements paired data, but sealed and new montage remain unopened.",Generalization evidence was insufficient.,Withdraw cross-montage/generalization claim and ask AE whether this is acceptable.,We cannot support cross-montage generalization and explicitly withdraw it.,Reviewer 3,requires_AE_guidance
task-valid physiology,"Observation retention, PSD and covariance are reported; ERP/SSVEP/ERD endpoints unavailable.",Artifact attenuation alone cannot establish preservation.,Remove proxy aliases and state N/A.,Task-valid physiological preservation is unavailable and is not claimed.,Reviewer 3,unresolved_but_claim_withdrawn
