participant,role,acquisition,loader_access,purpose
1,R,Day-1,allowed,heldout support
1,T,Day-7,allowed,restoration query
1,G,Day-80,allowed,verifier-B gallery/evaluation
1,F,Day-200,forbidden,future sealed
2,R,Day-1,allowed,heldout support
2,T,Day-7,allowed,restoration query
2,G,Day-80,allowed,verifier-B gallery/evaluation
2,F,Day-200,forbidden,future sealed
3,R,Day-1,allowed,heldout support
3,T,Day-7,allowed,restoration query
3,G,Day-80,allowed,verifier-B gallery/evaluation
3,F,Day-200,forbidden,future sealed
4,R,Day-1,allowed,heldout support
4,T,Day-7,allowed,restoration query
4,G,Day-80,allowed,verifier-B gallery/evaluation
4,F,Day-200,forbidden,future sealed
5,R,Day-1,allowed,heldout support
5,T,Day-7,allowed,restoration query
5,G,Day-80,allowed,verifier-B gallery/evaluation
5,F,Day-200,forbidden,future sealed
6,R,Day-1,allowed,heldout support
6,T,Day-7,allowed,restoration query
6,G,Day-80,allowed,verifier-B gallery/evaluation
6,F,Day-200,forbidden,future sealed
7,R,Day-1,allowed,heldout support
7,T,Day-7,allowed,restoration query
7,G,Day-80,allowed,verifier-B gallery/evaluation
7,F,Day-200,forbidden,future sealed
8,R,Day-1,allowed,heldout support
8,T,Day-7,allowed,restoration query
8,G,Day-80,allowed,verifier-B gallery/evaluation
8,F,Day-200,forbidden,future sealed
9,R,Day-1,allowed,heldout support
9,T,Day-7,allowed,restoration query
9,G,Day-80,allowed,verifier-B gallery/evaluation
9,F,Day-200,forbidden,future sealed
10,R,Day-1,allowed,heldout support
10,T,Day-7,allowed,restoration query
10,G,Day-80,allowed,verifier-B gallery/evaluation
10,F,Day-200,forbidden,future sealed
11,R,Day-1,allowed,heldout support
11,T,Day-7,allowed,restoration query
11,G,Day-80,allowed,verifier-B gallery/evaluation
11,F,Day-200,forbidden,future sealed
12,R,Day-1,allowed,heldout support
12,T,Day-7,allowed,restoration query
12,G,Day-80,allowed,verifier-B gallery/evaluation
12,F,Day-200,forbidden,future sealed
13,R,Day-1,allowed,heldout support
13,T,Day-7,allowed,restoration query
13,G,Day-80,allowed,verifier-B gallery/evaluation
13,F,Day-200,forbidden,future sealed
14,R,Day-1,allowed,heldout support
14,T,Day-7,allowed,restoration query
14,G,Day-80,allowed,verifier-B gallery/evaluation
14,F,Day-200,forbidden,future sealed
15,R,Day-1,allowed,heldout support
15,T,Day-7,allowed,restoration query
15,G,Day-80,allowed,verifier-B gallery/evaluation
15,F,Day-200,forbidden,future sealed
