binary_signal_opened,channels_exists,channels_tsv,data_exists,data_file,header,header_exists,marker_content_opened,marker_exists,marker_file,outcome_opened,participant,participant_role,processed_eeg_channels,processed_eog_channels,processed_imu_channels,sampling_rate_hz,session,source_eeg_channels,source_eog_channels,task
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-01/eeg/sub-01_ses-01_task-ERP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-01/eeg/sub-01_ses-01_task-ERP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-01/eeg/sub-01_ses-01_task-ERP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-01/eeg/sub-01_ses-01_task-ERP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-01,46,4,ERP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-02/eeg/sub-01_ses-02_task-ERP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-02/eeg/sub-01_ses-02_task-ERP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-02/eeg/sub-01_ses-02_task-ERP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-02/eeg/sub-01_ses-02_task-ERP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-02,46,4,ERP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-02/eeg/sub-01_ses-02_task-SSVEP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-02/eeg/sub-01_ses-02_task-SSVEP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-02/eeg/sub-01_ses-02_task-SSVEP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-02/eeg/sub-01_ses-02_task-SSVEP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-02,46,4,SSVEP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-03/eeg/sub-01_ses-03_task-ERP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-03/eeg/sub-01_ses-03_task-ERP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-03/eeg/sub-01_ses-03_task-ERP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-03/eeg/sub-01_ses-03_task-ERP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-03,46,4,ERP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-03/eeg/sub-01_ses-03_task-SSVEP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-03/eeg/sub-01_ses-03_task-SSVEP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-03/eeg/sub-01_ses-03_task-SSVEP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-03/eeg/sub-01_ses-03_task-SSVEP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-03,46,4,SSVEP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-04/eeg/sub-01_ses-04_task-ERP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-04/eeg/sub-01_ses-04_task-ERP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-04/eeg/sub-01_ses-04_task-ERP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-04/eeg/sub-01_ses-04_task-ERP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-04,46,4,ERP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-04/eeg/sub-01_ses-04_task-SSVEP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-04/eeg/sub-01_ses-04_task-SSVEP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-04/eeg/sub-01_ses-04_task-SSVEP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-04/eeg/sub-01_ses-04_task-SSVEP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-04,46,4,SSVEP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-05/eeg/sub-01_ses-05_task-ERP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-05/eeg/sub-01_ses-05_task-ERP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-05/eeg/sub-01_ses-05_task-ERP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-05/eeg/sub-01_ses-05_task-ERP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-05,46,4,ERP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-05/eeg/sub-01_ses-05_task-SSVEP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-05/eeg/sub-01_ses-05_task-SSVEP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-05/eeg/sub-01_ses-05_task-SSVEP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-01/ses-05/eeg/sub-01_ses-05_task-SSVEP_eeg.vmrk,False,sub-01,sealed,46,0,27,100.0,ses-05,46,4,SSVEP
False,True,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-01/eeg/sub-02_ses-01_task-ERP_channels.tsv,True,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-01/eeg/sub-02_ses-01_task-ERP_eeg.eeg,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-01/eeg/sub-02_ses-01_task-ERP_eeg.vhdr,True,False,True,/projects/EEG-foundation-model/mobile_bci/sub-02/ses-01/eeg/sub-02_ses-01_task-ERP_eeg.vmrk,False,sub-02,development,46,0,27,100.0,ses-01,46,4,ERP
