method,task,clean_target,split_unit,conditioning,unseen_participants,support_query_separation,matched_deterministic,official_code,evidence_boundary,primary_source
EEGDfus,EEG artifact removal,paired benchmark clean EEG,repository protocol to audit,noisy EEG query,unknown_pending_audit,no independent subject support,current project rerun required,yes,not subject-aware evidence,https://doi.org/10.1109/JBHI.2024.3504716
D4PM,EEG artifact removal,clean and artifact branch training,repository protocol to audit,artifact type and posterior information,unknown_pending_audit,no independent subject support,current project rerun required,yes,extra query information must be separated,https://arxiv.org/abs/2509.14302
Essentia,EEG artifact removal,semantic-guidance training targets,paper protocol to audit,semantic artifact guidance,unknown_pending_audit,no independent subject support,unknown,claimed repository pending code match,not support-calibrated personalization,https://doi.org/10.1109/ICASSP49660.2025.10887905
DS-DDPM,brain-dynamics domain removal,domain-invariant representation,cross-subject recognition,known subject-domain supervision,yes,no disjoint denoising support,no,yes,classification/domain representation not artifact restoration,https://arxiv.org/abs/2305.04200
Pose-informed diffusion,naturalistic EEG denoising,paper-specific teacher/query construction,paper protocol,query-side pose,unknown,no independent calibration support,unknown,not identified,extra query sensor differs from deployable setting,https://doi.org/10.1101/2023.12.08.567146
EEGOAR-Net,ocular artifact removal,paper-specific weak/paired targets,paper protocol,calibration-free EEG,unknown,no subject support,required,yes,official split must be rerun,https://doi.org/10.1016/j.bspc.2025.108147
SGEYESUB,ocular artifact correction,no clean truth,native participant recordings,EOG calibration,yes,calibration/query protocol can be defined,no,yes,source-faithful port until MATLAB parity,https://doi.org/10.1016/j.neuroimage.2020.117000
DeepSeparator,EEG artifact removal,EEGdenoiseNet semi-synthetic mixtures,epoch/record protocol to audit,noisy EEG,not a subject claim,no support/query personalization,yes,yes,single-channel benchmark plus real-data diagnostics,https://arxiv.org/abs/2112.00989
IC-U-Net,artifact source reconstruction,ICA brain/non-brain source mixtures,three real datasets plus simulation,noisy EEG/IC mixtures,not primary claim,no subject calibration,yes,public implementation requires locator audit,source-mixture target is not clean EEG truth,https://arxiv.org/abs/2111.10026
ART,multichannel EEG artifact reconstruction,paper simulation/paired construction,paper protocol,noisy EEG,unknown,no independent support,yes,code availability pending audit,transformer baseline not subject-aware,https://arxiv.org/abs/2409.07326
TCPL,cross-subject MI classification,labeled class targets,subject-level meta tasks,labeled few-shot prompt support,yes,yes for classification,classification baselines,publication availability,mechanism inspiration only,https://doi.org/10.3389/fnins.2025.1689286
