successful_update,pair_indices,pair_keys
1,62;643;219;124;153;442;500;587,study05/study05_p06:target_t32_1536:source_t16_512;study05/study05_p50:target_t22_512:source_t4_1024;study05/study05_p24:target_t32_1536:source_t2_1024;study05/study05_p10:target_t26_512:source_t10_0;study05/study05_p10:target_t33_1024:source_t1_0;study05/study05_p47:target_t18_1024:source_t2_0;study05/study05_p47:target_t33_0:source_t1_1024;study05/study05_p49:target_t12_0:source_t9_0
2,678;512;326;57;204;25;305;606,study05/study05_p50:target_t34_512:source_t13_512;study05/study05_p48:target_t16_0:source_t11_1024;study05/study05_p41:target_t24_512:source_t8_1536;study05/study05_p06:target_t31_1024:source_t15_0;study05/study05_p24:target_t29_0:source_t15_1024;study05/study05_p06:target_t23_512:source_t6_1536;study05/study05_p41:target_t19_0:source_t3_1024;study05/study05_p49:target_t18_1024:source_t2_1536
3,10;385;637;386;243;559;603;254,study05/study05_p06:target_t19_1024:source_t3_0;study05/study05_p43:target_t24_512:source_t5_1536;study05/study05_p50:target_t20_1024:source_t3_0;study05/study05_p43:target_t24_1024:source_t6_0;study05/study05_p40:target_t24_0:source_t6_512;study05/study05_p48:target_t29_0:source_t10_512;study05/study05_p49:target_t16_512:source_t2_0;study05/study05_p40:target_t27_0:source_t9_0
4,179;516;514;158;452;673;508;515,study05/study05_p24:target_t21_512:source_t7_512;study05/study05_p48:target_t17_0:source_t13_512;study05/study05_p48:target_t16_1024:source_t12_512;study05/study05_p10:target_t34_1536:source_t2_512;study05/study05_p47:target_t21_0:source_t4_1024;study05/study05_p50:target_t32_512:source_t12_0;study05/study05_p48:target_t15_0:source_t10_1024;study05/study05_p48:target_t16_1536:source_t12_1536
5,466;462;169;351;457;101;174;51,study05/study05_p47:target_t24_1024:source_t8_1536;study05/study05_p47:target_t23_1024:source_t7_512;study05/study05_p10:target_t37_1024:source_t5_0;study05/study05_p41:target_t30_1024:source_t1_0;study05/study05_p47:target_t22_512:source_t5_1536;study05/study05_p10:target_t20_1024:source_t4_0;study05/study05_p10:target_t38_1536:source_t6_512;study05/study05_p06:target_t30_0:source_t13_1024
6,664;120;84;549;321;24;478;313,study05/study05_p50:target_t29_512:source_t9_1536;study05/study05_p10:target_t25_512:source_t9_0;study05/study05_p06:target_t38_512:source_t4_1536;study05/study05_p48:target_t25_1536:source_t7_1536;study05/study05_p41:target_t23_0:source_t7_1024;study05/study05_p06:target_t23_0:source_t6_1024;study05/study05_p47:target_t27_1024:source_t12_0;study05/study05_p41:target_t21_0:source_t5_1024
7,616;502;152;21;582;220;210;237,study05/study05_p49:target_t21_1536:source_t5_512;study05/study05_p47:target_t33_1024:source_t2_0;study05/study05_p10:target_t33_512:source_t0_1536;study05/study05_p06:target_t22_512:source_t5_1536;study05/study05_p48:target_t36_512:source_t3_0;study05/study05_p40:target_t18_0:source_t0_1024;study05/study05_p24:target_t30_1024:source_t0_512;study05/study05_p40:target_t22_1024:source_t4_1536
8,520;0;547;541;657;426;521;552,study05/study05_p48:target_t18_512:source_t0_1024;study05/study05_p06:target_t17_0:source_t0_1024;study05/study05_p48:target_t25_512:source_t7_512;study05/study05_p48:target_t23_1024:source_t5_1536;study05/study05_p50:target_t27_1024:source_t8_0;study05/study05_p43:target_t36_512:source_t2_1024;study05/study05_p48:target_t18_1024:source_t0_1536;study05/study05_p48:target_t26_1024:source_t8_1024
9,530;7;501;653;97;250;296;645,study05/study05_p48:target_t20_1536:source_t3_0;study05/study05_p06:target_t18_1536:source_t2_512;study05/study05_p47:target_t33_512:source_t1_1536;study05/study05_p50:target_t26_1024:source_t7_0;study05/study05_p10:target_t19_1024:source_t3_0;study05/study05_p40:target_t25_1536:source_t8_0;study05/study05_p41:target_t16_1536:source_t1_512;study05/study05_p50:target_t23_512:source_t5_0
10,640;145;670;677;192;332;528;556,study05/study05_p50:target_t21_512:source_t3_1536;study05/study05_p10:target_t31_1024:source_t16_0;study05/study05_p50:target_t31_512:source_t11_512;study05/study05_p50:target_t34_0:source_t13_0;study05/study05_p24:target_t26_0:source_t10_1024;study05/study05_p41:target_t25_1536:source_t10_512;study05/study05_p48:target_t20_512:source_t2_1024;study05/study05_p48:target_t27_1536:source_t9_1024
