experiment_id,dataset,branch,commit,config,report,result_summary,scientific_unit,development_or_confirmation,natural_or_semisim_or_proxy,seeds,coverage,technical_status,scientific_status,primary_estimands,claim_scope,query_eog_used,support_eog_or_labels_used,oracle_only,superseded_by,canonicality,provenance_status,provenance_note
v3_routes,Klados/SGEYESUB,codex/literature-guided-exploration-v3,61efe46567f807532abb50fa84f2ae771d41b8d1,configs/cgdr/literature_guided_exploration_v3.yaml,reports/v3_evidence_correction.md,results/cgdr/v3_evidence_repair/result_summary.json,source-record/participant-stem,development,mixed,multiple,reported units,valid after evidence repair,specific moment-summary/output-residual instances no-go,specific moment-summary/output-residual instances no-go,route-specific only,mixed,support moments/labels by route,some arms,,supporting,incomplete,BLOCKED_PROVENANCE_MISMATCH: configs/cgdr/literature_guided_exploration_v3.yaml
pc_bounded_oracle,Klados/SGEYESUB,codex/mobile-temporal-diffusion-v5,50a7b178aed6120165e968a554600a222795e2b8,,reports/pc_safety_constrained_oracle.md,results/cgdr/pc_constrained_oracle/result_summary.json,participant/stem,development,oracle,none,full frozen denominator,valid bounded-candidate oracle,oracle/selector diagnostic only,oracle/selector diagnostic only,not deployable efficacy,no,matching support,yes,,supporting,complete,
mobile_v4,MobileBCI,codex/mobile-headroom-temporal-v4,1cefb776f674e7264aa48fe3a12138794d32657a,configs/cgdr/mobile_bci_headroom_v4,reports/mobile_bci_headroom_v4.md,results/cgdr/mobile_bci_headroom_v4/final/result_summary.json,participant,development,natural,one,development only; sealed 8 excluded,protocol repaired later,historical development screen,historical development screen,not confirmation,no,support EEG; EOG masked imperfectly,no,mobile_v5,superseded,complete,
mobile_v5,MobileBCI,codex/mobile-temporal-diffusion-v5,50a7b178aed6120165e968a554600a222795e2b8,configs/cgdr/mobile_bci_headroom_v4,reports/mobile_temporal_diffusion_v5_closure.md,results/cgdr/mobile_temporal_diffusion_v5/result_summary.json,participant,development,natural,one,development only; sealed 8 unopened,protocol core valid; prior SSVEP safety invalid,one-seed raw temporal route no-go,one-seed raw temporal route no-go,current route only,no,support EEG; EOG zeros not true masking,no,,canonical_milestone,complete,
sge_v6,SGEYESUB,codex/sge-dynamic-transfer-diffusion-v6,b70b73e97d9298f377f773fb159a70a6f43832b7,,reports/sge_dynamic_transfer_diffusion_v6.md,results/cgdr/sge_dynamic_transfer_diffusion_v6/route_decision.json,participant-stem,development,paired semisim + natural,one,58 compatible stems target,diffusion validity not established,static transfer-summary instance no-go,static transfer-summary instance no-go,not a valid family negative,natural evaluator only,support EEG+EOG,generator only,sge_v7,superseded,complete,
sge_v7,SGEYESUB,codex/sge-eb-score-adapter-v7,8642861e53bb39a1fe8d25b80e1af2d6a3a34444,,reports/v6_diffusion_validity_audit.md,results/cgdr/v6_diffusion_validity_audit/validity_decision.json,fold diagnostics,development,real-batch technical,none,three diagnostic folds,current v6 backbone/K8 not validated,cause not fully identified,cause not fully identified,technical boundary,no,support EEG+EOG,no,sge_v8,supporting,complete,
sge_v8,SGEYESUB,codex/sge-score-lora-v8,ce3dd7f04a05383f2a5ac7345988e302b9083e48,configs/cgdr/sge_score_lora_v8.yaml,reports/sge_score_lora_v8.md,results/cgdr/sge_score_lora_v8/result_summary.json,participant-stem,development,paired semisim + natural,one,diagnostic folds,population gate failed under frozen protocol,Score-LoRA not run,Score-LoRA not run,implementation-specific,natural evaluator only,label-assisted calibration support,no,sge_v8_1,superseded,complete,
sge_v8_1,SGEYESUB,codex/sge-eb-bridge-v8-1,89e88c6f82b63b336b9b8a2e2bd927043183c533,,reports/sge_eb_denoising_bridge_v8_1.md,results/cgdr/sge_eb_bridge_v8_1/result_summary.json,participant-stem,development,paired semisim + natural,one,four diagnostic folds,validity repaired; bridge failed,Score-LoRA not run,Score-LoRA not run,development bridge only,natural evaluator only,support EEG+EOG,ceiling arms,,canonical_milestone,complete,
sge_v9,SGEYESUB,codex/sge-basis-score-factorial-v9,e690cd3b1c591d9b1c92050d3a0116b459f3555a,,reports/sge_basis_score_factorial_v9.md,results/cgdr/sge_basis_score_factorial_v9/result_summary.json,participant-stem,development,paired semisim + natural,one,six folds/14 stems,randomness/aggregation confounded,historical candidate only,historical candidate only,not reproducibility evidence,natural evaluator only,label-assisted support,no,sge_v9r,superseded,complete,
sge_v9r,SGEYESUB,codex/sge-basis-score-factorial-v9r,9a352d910212a2bd87fd6a74f39a2608eb600e67,,reports/sge_basis_score_factorial_v9r.md,results/cgdr/sge_basis_score_factorial_v9r/result_summary.json,participant-stem,development,paired semisim + natural,three adaptation seeds,exact replay + limited new folds,common-random validity passed,interaction not sufficient for stable subject utility,interaction not sufficient for stable subject utility,current D11 formulation,natural evaluator only,label-assisted calibration support,no,,canonical_milestone,complete,
