fold,participant,query_eog_in_inference,query_operator_in_inference,session,task,window,wrong_owner
0,sub-02,0,0,ses-02,ERP,0,sub-03
0,sub-02,0,0,ses-02,ERP,10,sub-03
0,sub-02,0,0,ses-02,ERP,20,sub-03
0,sub-02,0,0,ses-02,ERP,30,sub-03
0,sub-02,0,0,ses-02,ERP,40,sub-03
0,sub-02,0,0,ses-02,ERP,50,sub-03
0,sub-02,0,0,ses-02,ERP,60,sub-03
0,sub-02,0,0,ses-02,ERP,70,sub-03
0,sub-02,0,0,ses-02,ERP,80,sub-03
0,sub-02,0,0,ses-02,ERP,90,sub-03
0,sub-02,0,0,ses-02,ERP,100,sub-03
0,sub-02,0,0,ses-02,ERP,110,sub-03
0,sub-02,0,0,ses-02,ERP,120,sub-03
0,sub-02,0,0,ses-02,ERP,130,sub-03
0,sub-02,0,0,ses-02,ERP,140,sub-03
0,sub-02,0,0,ses-02,ERP,150,sub-03
0,sub-02,0,0,ses-02,SSVEP,0,sub-03
0,sub-02,0,0,ses-02,SSVEP,6,sub-03
0,sub-02,0,0,ses-02,SSVEP,12,sub-03
0,sub-02,0,0,ses-02,SSVEP,18,sub-03
0,sub-02,0,0,ses-02,SSVEP,24,sub-03
0,sub-02,0,0,ses-02,SSVEP,30,sub-03
0,sub-02,0,0,ses-02,SSVEP,36,sub-03
0,sub-02,0,0,ses-02,SSVEP,42,sub-03
0,sub-02,0,0,ses-02,SSVEP,48,sub-03
0,sub-02,0,0,ses-02,SSVEP,54,sub-03
0,sub-02,0,0,ses-02,SSVEP,60,sub-03
0,sub-02,0,0,ses-02,SSVEP,66,sub-03
0,sub-02,0,0,ses-02,SSVEP,72,sub-03
0,sub-02,0,0,ses-02,SSVEP,78,sub-03
0,sub-02,0,0,ses-02,SSVEP,84,sub-03
0,sub-02,0,0,ses-02,SSVEP,90,sub-03
0,sub-02,0,0,ses-03,ERP,0,sub-03
0,sub-02,0,0,ses-03,ERP,9,sub-03
0,sub-02,0,0,ses-03,ERP,19,sub-03
0,sub-02,0,0,ses-03,ERP,29,sub-03
0,sub-02,0,0,ses-03,ERP,39,sub-03
0,sub-02,0,0,ses-03,ERP,49,sub-03
0,sub-02,0,0,ses-03,ERP,59,sub-03
0,sub-02,0,0,ses-03,ERP,69,sub-03
0,sub-02,0,0,ses-03,ERP,79,sub-03
0,sub-02,0,0,ses-03,ERP,89,sub-03
0,sub-02,0,0,ses-03,ERP,99,sub-03
0,sub-02,0,0,ses-03,ERP,109,sub-03
0,sub-02,0,0,ses-03,ERP,119,sub-03
0,sub-02,0,0,ses-03,ERP,129,sub-03
0,sub-02,0,0,ses-03,ERP,139,sub-03
0,sub-02,0,0,ses-03,ERP,149,sub-03
0,sub-02,0,0,ses-03,SSVEP,0,sub-03
0,sub-02,0,0,ses-03,SSVEP,6,sub-03
0,sub-02,0,0,ses-03,SSVEP,12,sub-03
0,sub-02,0,0,ses-03,SSVEP,18,sub-03
0,sub-02,0,0,ses-03,SSVEP,24,sub-03
0,sub-02,0,0,ses-03,SSVEP,30,sub-03
0,sub-02,0,0,ses-03,SSVEP,36,sub-03
0,sub-02,0,0,ses-03,SSVEP,42,sub-03
0,sub-02,0,0,ses-03,SSVEP,48,sub-03
0,sub-02,0,0,ses-03,SSVEP,54,sub-03
0,sub-02,0,0,ses-03,SSVEP,60,sub-03
0,sub-02,0,0,ses-03,SSVEP,66,sub-03
0,sub-02,0,0,ses-03,SSVEP,72,sub-03
0,sub-02,0,0,ses-03,SSVEP,78,sub-03
0,sub-02,0,0,ses-03,SSVEP,84,sub-03
0,sub-02,0,0,ses-03,SSVEP,90,sub-03
0,sub-02,0,0,ses-04,ERP,0,sub-03
0,sub-02,0,0,ses-04,ERP,10,sub-03
0,sub-02,0,0,ses-04,ERP,20,sub-03
0,sub-02,0,0,ses-04,ERP,30,sub-03
0,sub-02,0,0,ses-04,ERP,40,sub-03
0,sub-02,0,0,ses-04,ERP,50,sub-03
0,sub-02,0,0,ses-04,ERP,60,sub-03
0,sub-02,0,0,ses-04,ERP,70,sub-03
0,sub-02,0,0,ses-04,ERP,80,sub-03
0,sub-02,0,0,ses-04,ERP,90,sub-03
0,sub-02,0,0,ses-04,ERP,100,sub-03
0,sub-02,0,0,ses-04,ERP,110,sub-03
0,sub-02,0,0,ses-04,ERP,120,sub-03
0,sub-02,0,0,ses-04,ERP,130,sub-03
0,sub-02,0,0,ses-04,ERP,140,sub-03
0,sub-02,0,0,ses-04,ERP,151,sub-03
0,sub-02,0,0,ses-04,SSVEP,0,sub-03
0,sub-02,0,0,ses-04,SSVEP,6,sub-03
0,sub-02,0,0,ses-04,SSVEP,12,sub-03
0,sub-02,0,0,ses-04,SSVEP,18,sub-03
0,sub-02,0,0,ses-04,SSVEP,25,sub-03
0,sub-02,0,0,ses-04,SSVEP,31,sub-03
0,sub-02,0,0,ses-04,SSVEP,37,sub-03
0,sub-02,0,0,ses-04,SSVEP,43,sub-03
0,sub-02,0,0,ses-04,SSVEP,50,sub-03
0,sub-02,0,0,ses-04,SSVEP,56,sub-03
0,sub-02,0,0,ses-04,SSVEP,62,sub-03
0,sub-02,0,0,ses-04,SSVEP,68,sub-03
0,sub-02,0,0,ses-04,SSVEP,75,sub-03
0,sub-02,0,0,ses-04,SSVEP,81,sub-03
0,sub-02,0,0,ses-04,SSVEP,87,sub-03
0,sub-02,0,0,ses-04,SSVEP,94,sub-03
0,sub-03,0,0,ses-02,ERP,0,sub-02
0,sub-03,0,0,ses-02,ERP,10,sub-02
0,sub-03,0,0,ses-02,ERP,20,sub-02
0,sub-03,0,0,ses-02,ERP,30,sub-02
0,sub-03,0,0,ses-02,ERP,40,sub-02
0,sub-03,0,0,ses-02,ERP,50,sub-02
0,sub-03,0,0,ses-02,ERP,60,sub-02
0,sub-03,0,0,ses-02,ERP,70,sub-02
0,sub-03,0,0,ses-02,ERP,80,sub-02
0,sub-03,0,0,ses-02,ERP,90,sub-02
0,sub-03,0,0,ses-02,ERP,100,sub-02
0,sub-03,0,0,ses-02,ERP,110,sub-02
0,sub-03,0,0,ses-02,ERP,120,sub-02
0,sub-03,0,0,ses-02,ERP,130,sub-02
0,sub-03,0,0,ses-02,ERP,140,sub-02
0,sub-03,0,0,ses-02,ERP,150,sub-02
0,sub-03,0,0,ses-02,SSVEP,0,sub-02
0,sub-03,0,0,ses-02,SSVEP,6,sub-02
0,sub-03,0,0,ses-02,SSVEP,12,sub-02
0,sub-03,0,0,ses-02,SSVEP,18,sub-02
0,sub-03,0,0,ses-02,SSVEP,24,sub-02
0,sub-03,0,0,ses-02,SSVEP,31,sub-02
0,sub-03,0,0,ses-02,SSVEP,37,sub-02
0,sub-03,0,0,ses-02,SSVEP,43,sub-02
0,sub-03,0,0,ses-02,SSVEP,49,sub-02
0,sub-03,0,0,ses-02,SSVEP,55,sub-02
0,sub-03,0,0,ses-02,SSVEP,62,sub-02
0,sub-03,0,0,ses-02,SSVEP,68,sub-02
0,sub-03,0,0,ses-02,SSVEP,74,sub-02
0,sub-03,0,0,ses-02,SSVEP,80,sub-02
0,sub-03,0,0,ses-02,SSVEP,86,sub-02
0,sub-03,0,0,ses-02,SSVEP,93,sub-02
0,sub-03,0,0,ses-03,ERP,0,sub-02
0,sub-03,0,0,ses-03,ERP,9,sub-02
0,sub-03,0,0,ses-03,ERP,19,sub-02
0,sub-03,0,0,ses-03,ERP,29,sub-02
0,sub-03,0,0,ses-03,ERP,39,sub-02
