fold,participant,query_eog_in_inference,query_operator_in_inference,session,task,window,wrong_owner
2,sub-11,0,0,ses-02,ERP,0,sub-12
2,sub-11,0,0,ses-02,ERP,4,sub-12
2,sub-11,0,0,ses-02,ERP,8,sub-12
2,sub-11,0,0,ses-02,ERP,12,sub-12
2,sub-11,0,0,ses-02,ERP,16,sub-12
2,sub-11,0,0,ses-02,ERP,20,sub-12
2,sub-11,0,0,ses-02,ERP,24,sub-12
2,sub-11,0,0,ses-02,ERP,28,sub-12
2,sub-11,0,0,ses-02,ERP,32,sub-12
2,sub-11,0,0,ses-02,ERP,36,sub-12
2,sub-11,0,0,ses-02,ERP,40,sub-12
2,sub-11,0,0,ses-02,ERP,44,sub-12
2,sub-11,0,0,ses-02,ERP,48,sub-12
2,sub-11,0,0,ses-02,ERP,52,sub-12
2,sub-11,0,0,ses-02,ERP,56,sub-12
2,sub-11,0,0,ses-02,ERP,61,sub-12
2,sub-11,0,0,ses-02,SSVEP,0,sub-12
2,sub-11,0,0,ses-02,SSVEP,7,sub-12
2,sub-11,0,0,ses-02,SSVEP,14,sub-12
2,sub-11,0,0,ses-02,SSVEP,21,sub-12
2,sub-11,0,0,ses-02,SSVEP,28,sub-12
2,sub-11,0,0,ses-02,SSVEP,35,sub-12
2,sub-11,0,0,ses-02,SSVEP,42,sub-12
2,sub-11,0,0,ses-02,SSVEP,49,sub-12
2,sub-11,0,0,ses-02,SSVEP,56,sub-12
2,sub-11,0,0,ses-02,SSVEP,63,sub-12
2,sub-11,0,0,ses-02,SSVEP,70,sub-12
2,sub-11,0,0,ses-02,SSVEP,77,sub-12
2,sub-11,0,0,ses-02,SSVEP,84,sub-12
2,sub-11,0,0,ses-02,SSVEP,91,sub-12
2,sub-11,0,0,ses-02,SSVEP,98,sub-12
2,sub-11,0,0,ses-02,SSVEP,106,sub-12
2,sub-11,0,0,ses-03,ERP,0,sub-12
2,sub-11,0,0,ses-03,ERP,3,sub-12
2,sub-11,0,0,ses-03,ERP,7,sub-12
2,sub-11,0,0,ses-03,ERP,11,sub-12
2,sub-11,0,0,ses-03,ERP,15,sub-12
2,sub-11,0,0,ses-03,ERP,19,sub-12
2,sub-11,0,0,ses-03,ERP,23,sub-12
2,sub-11,0,0,ses-03,ERP,27,sub-12
2,sub-11,0,0,ses-03,ERP,31,sub-12
2,sub-11,0,0,ses-03,ERP,35,sub-12
2,sub-11,0,0,ses-03,ERP,39,sub-12
2,sub-11,0,0,ses-03,ERP,43,sub-12
2,sub-11,0,0,ses-03,ERP,47,sub-12
2,sub-11,0,0,ses-03,ERP,51,sub-12
2,sub-11,0,0,ses-03,ERP,55,sub-12
2,sub-11,0,0,ses-03,ERP,59,sub-12
2,sub-11,0,0,ses-03,SSVEP,0,sub-12
2,sub-11,0,0,ses-03,SSVEP,6,sub-12
2,sub-11,0,0,ses-03,SSVEP,13,sub-12
2,sub-11,0,0,ses-03,SSVEP,20,sub-12
2,sub-11,0,0,ses-03,SSVEP,26,sub-12
2,sub-11,0,0,ses-03,SSVEP,33,sub-12
2,sub-11,0,0,ses-03,SSVEP,40,sub-12
2,sub-11,0,0,ses-03,SSVEP,47,sub-12
2,sub-11,0,0,ses-03,SSVEP,53,sub-12
2,sub-11,0,0,ses-03,SSVEP,60,sub-12
2,sub-11,0,0,ses-03,SSVEP,67,sub-12
2,sub-11,0,0,ses-03,SSVEP,74,sub-12
2,sub-11,0,0,ses-03,SSVEP,80,sub-12
2,sub-11,0,0,ses-03,SSVEP,87,sub-12
2,sub-11,0,0,ses-03,SSVEP,94,sub-12
2,sub-11,0,0,ses-03,SSVEP,101,sub-12
2,sub-11,0,0,ses-04,ERP,0,sub-12
2,sub-11,0,0,ses-04,ERP,4,sub-12
2,sub-11,0,0,ses-04,ERP,8,sub-12
2,sub-11,0,0,ses-04,ERP,12,sub-12
2,sub-11,0,0,ses-04,ERP,17,sub-12
2,sub-11,0,0,ses-04,ERP,21,sub-12
2,sub-11,0,0,ses-04,ERP,25,sub-12
2,sub-11,0,0,ses-04,ERP,29,sub-12
2,sub-11,0,0,ses-04,ERP,34,sub-12
2,sub-11,0,0,ses-04,ERP,38,sub-12
