fold,participant,query_eog_in_inference,query_operator_in_inference,session,task,window,wrong_owner
1,sub-06,0,0,ses-02,ERP,0,sub-07
1,sub-06,0,0,ses-02,ERP,9,sub-07
1,sub-06,0,0,ses-02,ERP,19,sub-07
1,sub-06,0,0,ses-02,ERP,29,sub-07
1,sub-06,0,0,ses-02,ERP,38,sub-07
1,sub-06,0,0,ses-02,ERP,48,sub-07
1,sub-06,0,0,ses-02,ERP,58,sub-07
1,sub-06,0,0,ses-02,ERP,67,sub-07
1,sub-06,0,0,ses-02,ERP,77,sub-07
1,sub-06,0,0,ses-02,ERP,87,sub-07
1,sub-06,0,0,ses-02,ERP,96,sub-07
1,sub-06,0,0,ses-02,ERP,106,sub-07
1,sub-06,0,0,ses-02,ERP,116,sub-07
1,sub-06,0,0,ses-02,ERP,125,sub-07
1,sub-06,0,0,ses-02,ERP,135,sub-07
1,sub-06,0,0,ses-02,ERP,145,sub-07
1,sub-06,0,0,ses-02,SSVEP,0,sub-07
1,sub-06,0,0,ses-02,SSVEP,6,sub-07
1,sub-06,0,0,ses-02,SSVEP,12,sub-07
1,sub-06,0,0,ses-02,SSVEP,18,sub-07
1,sub-06,0,0,ses-02,SSVEP,24,sub-07
1,sub-06,0,0,ses-02,SSVEP,30,sub-07
1,sub-06,0,0,ses-02,SSVEP,36,sub-07
1,sub-06,0,0,ses-02,SSVEP,42,sub-07
1,sub-06,0,0,ses-02,SSVEP,48,sub-07
1,sub-06,0,0,ses-02,SSVEP,54,sub-07
1,sub-06,0,0,ses-02,SSVEP,60,sub-07
1,sub-06,0,0,ses-02,SSVEP,66,sub-07
1,sub-06,0,0,ses-02,SSVEP,72,sub-07
1,sub-06,0,0,ses-02,SSVEP,78,sub-07
1,sub-06,0,0,ses-02,SSVEP,84,sub-07
1,sub-06,0,0,ses-02,SSVEP,91,sub-07
1,sub-06,0,0,ses-03,ERP,0,sub-07
1,sub-06,0,0,ses-03,ERP,9,sub-07
1,sub-06,0,0,ses-03,ERP,19,sub-07
1,sub-06,0,0,ses-03,ERP,29,sub-07
1,sub-06,0,0,ses-03,ERP,39,sub-07
1,sub-06,0,0,ses-03,ERP,49,sub-07
1,sub-06,0,0,ses-03,ERP,58,sub-07
1,sub-06,0,0,ses-03,ERP,68,sub-07
1,sub-06,0,0,ses-03,ERP,78,sub-07
1,sub-06,0,0,ses-03,ERP,88,sub-07
1,sub-06,0,0,ses-03,ERP,98,sub-07
1,sub-06,0,0,ses-03,ERP,107,sub-07
1,sub-06,0,0,ses-03,ERP,117,sub-07
1,sub-06,0,0,ses-03,ERP,127,sub-07
1,sub-06,0,0,ses-03,ERP,137,sub-07
1,sub-06,0,0,ses-03,ERP,147,sub-07
1,sub-06,0,0,ses-03,SSVEP,0,sub-07
1,sub-06,0,0,ses-03,SSVEP,6,sub-07
