fold,participant,query_eog_in_inference,query_operator_in_inference,session,task,window,wrong_owner
3,sub-15,0,0,ses-02,ERP,0,sub-17
3,sub-15,0,0,ses-02,ERP,10,sub-17
3,sub-15,0,0,ses-02,ERP,20,sub-17
3,sub-15,0,0,ses-02,ERP,30,sub-17
3,sub-15,0,0,ses-02,ERP,40,sub-17
3,sub-15,0,0,ses-02,ERP,50,sub-17
3,sub-15,0,0,ses-02,ERP,60,sub-17
3,sub-15,0,0,ses-02,ERP,70,sub-17
3,sub-15,0,0,ses-02,ERP,80,sub-17
3,sub-15,0,0,ses-02,ERP,90,sub-17
3,sub-15,0,0,ses-02,ERP,100,sub-17
3,sub-15,0,0,ses-02,ERP,110,sub-17
3,sub-15,0,0,ses-02,ERP,120,sub-17
3,sub-15,0,0,ses-02,ERP,130,sub-17
3,sub-15,0,0,ses-02,ERP,140,sub-17
3,sub-15,0,0,ses-02,ERP,150,sub-17
3,sub-15,0,0,ses-02,SSVEP,0,sub-17
3,sub-15,0,0,ses-02,SSVEP,6,sub-17
3,sub-15,0,0,ses-02,SSVEP,13,sub-17
3,sub-15,0,0,ses-02,SSVEP,19,sub-17
3,sub-15,0,0,ses-02,SSVEP,26,sub-17
3,sub-15,0,0,ses-02,SSVEP,33,sub-17
3,sub-15,0,0,ses-02,SSVEP,39,sub-17
3,sub-15,0,0,ses-02,SSVEP,46,sub-17
3,sub-15,0,0,ses-02,SSVEP,52,sub-17
3,sub-15,0,0,ses-02,SSVEP,59,sub-17
3,sub-15,0,0,ses-02,SSVEP,66,sub-17
3,sub-15,0,0,ses-02,SSVEP,72,sub-17
3,sub-15,0,0,ses-02,SSVEP,79,sub-17
3,sub-15,0,0,ses-02,SSVEP,85,sub-17
3,sub-15,0,0,ses-02,SSVEP,92,sub-17
3,sub-15,0,0,ses-02,SSVEP,99,sub-17
3,sub-15,0,0,ses-03,ERP,0,sub-17
3,sub-15,0,0,ses-03,ERP,9,sub-17
3,sub-15,0,0,ses-03,ERP,19,sub-17
3,sub-15,0,0,ses-03,ERP,29,sub-17
3,sub-15,0,0,ses-03,ERP,39,sub-17
3,sub-15,0,0,ses-03,ERP,49,sub-17
3,sub-15,0,0,ses-03,ERP,59,sub-17
3,sub-15,0,0,ses-03,ERP,69,sub-17
3,sub-15,0,0,ses-03,ERP,79,sub-17
3,sub-15,0,0,ses-03,ERP,89,sub-17
3,sub-15,0,0,ses-03,ERP,99,sub-17
3,sub-15,0,0,ses-03,ERP,109,sub-17
3,sub-15,0,0,ses-03,ERP,119,sub-17
3,sub-15,0,0,ses-03,ERP,129,sub-17
3,sub-15,0,0,ses-03,ERP,139,sub-17
3,sub-15,0,0,ses-03,ERP,149,sub-17
3,sub-15,0,0,ses-03,SSVEP,0,sub-17
3,sub-15,0,0,ses-03,SSVEP,6,sub-17
3,sub-15,0,0,ses-03,SSVEP,12,sub-17
3,sub-15,0,0,ses-03,SSVEP,18,sub-17
3,sub-15,0,0,ses-03,SSVEP,24,sub-17
3,sub-15,0,0,ses-03,SSVEP,30,sub-17
3,sub-15,0,0,ses-03,SSVEP,36,sub-17
3,sub-15,0,0,ses-03,SSVEP,42,sub-17
3,sub-15,0,0,ses-03,SSVEP,48,sub-17
3,sub-15,0,0,ses-03,SSVEP,54,sub-17
3,sub-15,0,0,ses-03,SSVEP,60,sub-17
3,sub-15,0,0,ses-03,SSVEP,66,sub-17
3,sub-15,0,0,ses-03,SSVEP,72,sub-17
3,sub-15,0,0,ses-03,SSVEP,78,sub-17
3,sub-15,0,0,ses-03,SSVEP,84,sub-17
3,sub-15,0,0,ses-03,SSVEP,90,sub-17
3,sub-15,0,0,ses-04,ERP,0,sub-17
3,sub-15,0,0,ses-04,ERP,11,sub-17
3,sub-15,0,0,ses-04,ERP,22,sub-17
3,sub-15,0,0,ses-04,ERP,33,sub-17
3,sub-15,0,0,ses-04,ERP,44,sub-17
3,sub-15,0,0,ses-04,ERP,55,sub-17
3,sub-15,0,0,ses-04,ERP,66,sub-17
3,sub-15,0,0,ses-04,ERP,77,sub-17
3,sub-15,0,0,ses-04,ERP,89,sub-17
3,sub-15,0,0,ses-04,ERP,100,sub-17
3,sub-15,0,0,ses-04,ERP,111,sub-17
3,sub-15,0,0,ses-04,ERP,122,sub-17
3,sub-15,0,0,ses-04,ERP,133,sub-17
3,sub-15,0,0,ses-04,ERP,144,sub-17
3,sub-15,0,0,ses-04,ERP,155,sub-17
3,sub-15,0,0,ses-04,ERP,167,sub-17
3,sub-15,0,0,ses-04,SSVEP,0,sub-17
3,sub-15,0,0,ses-04,SSVEP,6,sub-17
3,sub-15,0,0,ses-04,SSVEP,13,sub-17
3,sub-15,0,0,ses-04,SSVEP,20,sub-17
3,sub-15,0,0,ses-04,SSVEP,26,sub-17
3,sub-15,0,0,ses-04,SSVEP,33,sub-17
3,sub-15,0,0,ses-04,SSVEP,40,sub-17
3,sub-15,0,0,ses-04,SSVEP,46,sub-17
3,sub-15,0,0,ses-04,SSVEP,53,sub-17
3,sub-15,0,0,ses-04,SSVEP,60,sub-17
3,sub-15,0,0,ses-04,SSVEP,66,sub-17
3,sub-15,0,0,ses-04,SSVEP,73,sub-17
3,sub-15,0,0,ses-04,SSVEP,80,sub-17
3,sub-15,0,0,ses-04,SSVEP,86,sub-17
